Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
11,2014-15,4,"ಹೊಸಕೆರೆಹಳ್ಳಿ ವಾರ್ಡ್ ನಂ.161 ರಲ್ಲಿರುವ ಹೊಸಕೆರೆಹಳ್ಳಿ 4ನೇ ಮುಖ್ಯರಸ್ತೆ, 9ನೇ ಮುಖ್ಯರಸ್ತೆಯಲಿರುವ ಅಂಗನವಾಡಿಗೆ ಹೊಸದಾಗಿ ಶೌಚಾಲಯ, ಕುಡಿಯುವ ನೀರಿನ ಟ್ಯಾಂಕ್, ಕಿಟಕಿ ಬಾಗಿಲುಗಳು ಮುರಿದಿರುವುದರಿಂದ ಹೊಸದಾಗಿ ನಿರ್ಮಿಸಲು.","Newcomerahalli 4th Main Road, New Harehahalli Ward No.161, Newly constructed to the Anganwadi at 9th Main Road, New toilet, drinking water tank and windows doors are broken.",6.0
12,2014-15,5,"ಪದÀ್ಮನಾಭನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿರುವ ಯಡಿಯೂರು ವಾರ್ಡ್ ನಂ.167 ರಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ, ಪದವಿ ಕಾಲೇಜಿಗೆ ಸಂಬಂಧಿಸಿದಂತೆ, ಗ್ರಂಥಾಲಯ ಮತ್ತು ಪ್ರಯೋಗಾಲಯ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","Library and laboratory construction work for Government Degree, Bachelor's College, Yediyur Ward No.167, in the word'Ammanabhnagar Methodology Council.",15.0
13,2014-15,6,"ಕರಿಸಂದ್ರ ವಾರ್ಡ್ ನಂ.166 ರಲ್ಲಿರುವ ಯಡಿಯೂರು ಎ.ಕೆ.ಕಾಲೋನಿಯಲ್ಲಿರುವ ರಂಗಮಂದಿರ ಪೂರ್ಣವಾಗಿ ಶಿಥಿಲಗೊಂಡಿದ್ದು, ಪುನರ್ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","The theater in Yeddyuram AK Colony, Karismandra Ward No.166, was completely damaged and rebuilt.",10.0
14,2014-15,7,"ಸುರೇಶ್, ನಂ.18, 1ನೇ ಮಹಡಿ, 6ನೇ ಮುಖ್ಯರಸ್ತೆ, 6ನೇ ಕ್ರಾಸ್, ದತ್ತಾತ್ರೇಯನಗರ, ಹೊಸಕೆರೆಹಳ್ಳಿ, ಬನಶಂಕರಿ, 3ನೇ ಹಂತ, ಬೆಂ-85 ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Suresh, No. 18, 1st Floor, 6th Main Road, 6th Cross, Dattatreya Nagar, Hosikereahalli, Banashankari, 3rd Stage, Bem-85 for Triplicate Vehicle Purchase.",0.81
15,2014-15,8,"ಪದ್ಮನಾಭನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತÀ್ರಗೊಳಪಡುವ ವಾರ್ಡ್ ನಂ.166, ಕರೇಸಂದ್ರ ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡಿನ 7ನೇ ಬ್ಲಾಕ್, ದೀಪಕ್ ನರ್ಸಿಂಗ್ ಹೋಂನ ಪಕ್ಕದಲ್ಲಿರುವ ಹಾಲಿ ಉದ್ಯಾನವನದ ಉತ್ತಮ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.","The Padmanabhanagar Municipal Council convenes a ward number 166, 7th Block of Kareasandra Bangalore Bangalore Corporation, a good development work for the Holly Park adjacent to Deepak Nursing Home.",15.0
16,2014-15,9,ಪದ್ಮನಾಭನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗೊಳಪಡುವ 7ನೇ ಬ್ಲಾಕ್ 'ಎಫ್' ಲP್ಪ್ಷ್ಮಣ್‍ರಾವ್ ಬುಲ್ಲೇವಾರ್‍ನ ಪಾರ್ಕ್‍ನ ಮಧ್ಯದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕಾಮಗಾರಿ.,The 7th Block 'F' in the Padmanabhanagar Municipal Council area is the pipeline project in the middle of the park in Bulawayar Park.,6.0
17,2014-15,10,"ವಾರ್ಡ್ ನಂ.161, ಬಿ.ಡಿ.ಎ ಪಾರ್ಕ್, ಕಾಳಿದಾಸನಗರ ಉದ್ಯಾನವನದಲ್ಲಿ ಅಭಿವೃದ್ಧಿ ಮತ್ತು U್ಪಜಿಬೋ ನಿರ್ಮಾಣಕ್ಕಾಗಿ.","Ward No.161, BDA Park, developed at Kalidasnagar Park and for building UPZO.",30.0
18,2014-15,11,"ವಾರ್ಡ್ ನಂ.181, ಇಸ್ರೋ ಬಡಾವಣೆ, 7ನೇ ಮುಖ್ಯರಸ್ತೆ ಉದ್ಯಾನವನ, ಇಸ್ತ್ರೋ ಬಡಾವಣೆ, ಡಾ|| ಅಬ್ದುಲ್ ಕಲಾಂ ಪಾರ್ಕ್, ಸರದಾರ್ ವಲ್ಲಭಬಾಯಿ ಪಟೇಲ್ ಪಾರ್ಕ್‍ಗಳ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಗಜಿಬೋ ನಿರ್ಮಾಣಕ್ಕಾಗಿ (ಒಂದು ಪಾರ್ಕ್ ಅಭಿವೃದ್ಧಿಗೆ ರೂ.4.00 ಲಕ್ಷದಂತೆ ಒಟ್ಟು ರೂ.12.00 ಲಕ್ಷ)","Ward No.181, ISRO Layout, 7th Main Road Park, Istro Layout, Dr. Abdul Kalam Park, Sadar Vallabhbhai Patel Park Development and Gajboo Building (Rs.12.00 lakhs for Rs.4.00 lakhs for development of one park)",12.0
19,2014-15,12,ಭಾರತ್ ಹೌಸಿಂಗ್ ಸೊಸೈಟಿ ಪಾರ್ಕ್‍ನ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಗಜಿಬೋ ನಿರ್ಮಾಣಕ್ಕಾಗಿ (ವಾರ್ಡ್ ನಂ.182),Development of Bharat Housing Society Park and Gajboo (Ward No.182),4.0
20,2014-15,13,ವಾರ್ಡ್ ನಂ.183ರ ಕೆ.ಇ.ಬಿ ಪಾರ್ಕ್ (ರೂ.4.00) ವಾರ್ಡ್ ನಂ.183ರ ಕುವೆಂಪು ಪಾರ್ಕ್ (ರೂ.4.00) ಅಭಿವೃದ್ದಿ ಮತ್ತು ಗಜಿಬೋ ನಿರ್ಮಾಣಕ್ಕಾಗಿ.,KEB Park of Ward No.183 (Rs.4.00) Kuvempu Park of Ward No.183 (Rs.4.00) for development and construction of Gajboo.,8.0
21,2014-15,14,ವಾರ್ಡ್ ನಂ.182ರ ಕೆ.ಎಂ.ಪುಟ್ಟಲಿಂಗಯ್ಯ ಆಟದ ಮೈದಾನದ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ.,KM Puttilingayya's playground development work at Ward No.182.,25.0
22,2014-15,15,ವಾರ್ಡ್ ನಂ.183ರ ಕೆ.ಇ.ಬಿ ಪಾರ್ಕ್ ಅಭಿವೃದ್ಧಿ (ರೂ.5.00) ವಾರ್ಡ್ ನಂ.183ರ ಕುವೆಂಪು ಪಾರ್ಕ್ ಅಭಿವೃದ್ಧಿ (ರೂ.5.00),Development of KEB Park of Ward No.183 (Rs. 5.00) Kuvempu Park Development Ward of Ward No.183 (Rs.5.00),10.0
23,2014-15,16,"ಎಂ.ಮಂಜುನಾಥ್ ಬಿನ್ ಸಿ.ಎಸ್.ಮಾದಯ್ಯ, ನಂ.109, ಸಿದ್ದಲಿಂಗೇಶ್ವರ ನಿಲಯ, 1ನೇ ಮುಖ್ಯರಸ್ತೆ, ಚಿಕ್ಕಗೌಡನಪಾಳ್ಯ, ಸುಬ್ರಮಣ್ಯಪುರ ಅಂಚೆ, ಬೆಂ-61 ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","M. Manjunath Bin CS Madeiah, No.109, Siddalingeswara Nilaya, 1st Main Road, Chikakudanapalya, Subramanapura Post, B-61 for Triplicate Vehicle Purchase.",0.76
24,2014-15,17,ವಾರ್ಡ್ ನಂ.161 ರಲ್ಲಿರುವ ಹೊಸಕೆರೆ ಹಳ್ಳಿ ಕ್ರಾಸ್ ಬಳಿ-02.,-02 near Hosakere village cross in Ward No.161.,19.0
25,2014-15,18,ವಾರ್ಡ್ ನಂ.183 ರಲ್ಲಿರುವ ಭುವನೇಶ್ವರಿ ನಗರದ ಶ್ರೀ ಗಂಗಮ್ಮ ದೇವಸ್ಥಾನದ ಬಳಿ-01.,"-01 near the Sri Gangamma Temple in Bhubaneswari, Ward No.183.",9.5
26,2014-15,19,ವಾರ್ಡ್ ನಂ.181 ರಲ್ಲಿರುವ ಕದಿರೇನಹಳ್ಳಿ ಪಾರ್ಕ್ ಬಳಿ-01 ಮತ್ತು ಹನುಮಂತನಗರ ಸ್ಲಮ್ ಬಳಿ-01.,-01 near the Kadiranahalli park in Ward No.181 and -01 near Hanumanthanagar slam.,19.0
27,2014-15,20,ವಾರ್ಡ್ ನಂ.166 ರಲ್ಲಿರುವ ಹೋಲಿ ಸೆಚಿಟ್ ಶಾಲೆಯ ಬಳಿ-01.,-01 near Holly Sechitt School in Ward No.166.,9.5
28,2014-15,21,ವಾರ್ಡ್ ನಂ.180 ರಲ್ಲಿರುವ ಕದಿರೇನಹಳ್ಳಿ ಅಂಡರ್ ಪಾಸ್ ಬಳಿ-01 ಮತ್ತು ಗಂಗಾಧರ ನಗರ ಬಡಾವಣೆಯಲ್ಲಿ -01.,-01 at Ward No.180 near Kadiranahalli Underpass and -01 at Gangadhar Urban Layout.,19.0
29,2014-15,22,ವಾರ್ಡ್ ನಂ.182 ರಲ್ಲಿರುವ ಗೌಡನಪಾಳ್ಯ ಬಡಾವಣೆಯ ಹೊಂಗೆ ಮರದ ಬಳಿ-01.,"-01 at Ward No.2, Gowdanapalya Layout.",9.5
30,2014-15,23,ವಾರ್ಡ್ ನಂ.165 ರಲ್ಲಿರುವ ಬನಗಿರಿ ನಗರದ ವಿಶ್ವೇಶ್ವರಯ್ಯ ಪಾರ್ಕ್ ಬಳಿ-01.,-01 near Wardwishawaraya Park in Banagiri city in Ward No.165.,9.5
31,2014-15,24,"ತಿಮ್ಮಣ್ಣ.ಕೆ ಬಿನ್ ದೊಡ್ಡಹನುಮಂತಪ್ಪ, ನಂ.1313, 32ನೇ ಕ್ರಾಸ್ ಕುಮಾರಸ್ವಾಮಿ ಲೇಔಟ್, ವಾಟರ್ ಟ್ಯಾಂಕ್ ಹತ್ತಿರಮ ಬೆಂ-78, ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹ ಖರೀದಿಗಾಗಿ.","Timmanna KK Binna Hanumanthappa, No.1313, 32th Cross Kumaraswamy Layout, Bam-78 near Water Tank, for a Trichak vehicle purchase.",0.81
32,2014-15,25,"ಸುನಿತ ಕೆ.ವಿ ಕೋಂ ಬೆಂಕಟಚಲಯ್ಯ.ಕೆ.ಎನ್, ನಂ.5, 6ನೇ ಮುಖ್ಯರಸ್ತೆ, 4ನೇ ಕ್ರಾಸ್, ಶ್ರೀ ಕೃಷ್ಣ ಧಾರ್ಮಿಕ ಸಭಾಂಗಣದ ಎದುರು, ಪಾಪಯ್ಯ ಗಾರ್ಡನ್, ಬನಶಂಕರಿ 3ನೇ ಹಂತ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Sunita KV Kom Buntschalaya KKN, No.5, 6th Main Road, 4th Cross, opposite Sri Krishna Religious Hall, Papaya Garden, Banashankari 3rd Phase, Bem. For a three-wheel drive vehicle.",0.81
33,2014-15,26,"ಕು|| ನಿರ್ಮಲ.ಪಿ ಬಿನ್ ಅವರಪ್ಪ, ನಂ.327, 7ನೇ ಕ್ರಾಸ್, ಬಿ.ಎಸ್.ಕೆ 2ನೇ ಹಂತ, ಚಿಕ್ಕೇಗೌಡನ ಪಾಳ್ಯ, ಸುಬ್ರಮಣ್ಯಪುರ ಮುಖ್ಯರಸ್ತೆ, ಬೆಂ-61 ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Ku N.P.Binappappa, No.327, 7th Cross, BSK 2nd Stage, Chikegowda Palya, Subramanipur Main Road, B-61 for Triplicate Vehicle Purchase.",0.81
34,2014-15,27,"ಸರೋಜಮ್ಮ ಕೋ ಲೇ. ವೆಂಕಟೇಶ್, ನಂ.4, 4ನೇ ಕ್ರಾಸ್, ಪಾಪಯ್ಯ ಗಾರ್ಡನ್, ಬನಶಂಕರಿ 1ನೇ ಹಂತ, ಬೆಂ-85 ರವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Sarojamma Ko Lei Venkatesh, No. 4, 4th Cross, Papaya Gardens, Banashankari 1st Stage, for Tri-Series Vehicle Buying for BM-85.",0.81
35,2014-15,28,"ಅ) ವಾರ್ಡ್ ನಂ.106, ಕರೇಸಂದ್ರ, ಇಲ್ಲಿರುವ ಹೊಲಿಸೆಚಿಟ್ ಪಾರ್ಕ್, 7ನೇ ಬಡಾವಣೆ, ಕನಕಪುರ ಮುಖ್ಯರಸ್ತೆ, ಇಲ್ಲಿ ಬೋರ್‍ವೆಲ್ ಅಳವಡಿಸುವುವುದ. ಅ) ವಾರ್ಡ್ ನಂ.106, ಲಕ್ಷ್ಮಣರಾವ್ ಬುಲ್‍ವಾರ್ಡ್ (ಜಯನಗರ 7ನೇ ಬ್ಲಾಕ್, 3ನೇ ಮುಖ್ಯರಸ್ತೆ, ನ್ಯಾಷನಲ್ ಕಾಲೇಜು ಮುಂಭಾಗ) ಇ) ವಾರ್ಡ್ ನಂ.167, ಯಡಿಯೂರು, ಲಕ್ಷ್ಮಣ್‍ರಾವ್ ಬುಲೇವಾರ್ಡ್ ಪಾರ್ಕ್‍ನಲ್ಲಿರುವ ಶ್ರೀ ಅಭಯ ಗಣಪತಿ ದೇವಾಲಯ ಮುಂಭಾಗ ಬೋರ್‍ವೆಲ್ ಅಳವಡಿಸುವುದು.","A) Ward No .106, Karendra, Holissetch Park, 7th Layout, Kanakapura Main Road, where the borewell is installed.Ward No.106, Laxmanarao Bullward (Jayanagar 7th Block, 3rd Main Road, National College Front) E) Ward No.167, Yeddyuram, Adopting Borewell at Shree Abhaya Ganapati Temple at Laxmanrao Boulevard Park. ",18.0
36,2014-15,29,"ಸಪ್ತಶ್ರೀ ಪೌಂಡೇಷನ್ ಹಾಗೂ ಅಖಿಲ ಕರ್ನಾಟಕ ಬ್ರಾಹ್ಮಣ ಮಹಾಸಭಾ, ಬೆಂಗಳೂರು ಇವರು ಪದ್ಮನಾಭನಗರದಲ್ಲಿ ಹೆಣ್ಣುಮಕ್ಕಳಿಗಾಗಿ ಮಹಿಳಾ ವಸತಿ ಗೃಹವನ್ನು (ಹಾಸ್ಟೆಲ್) ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ.","Saptashree Foundation and Akhil Karnataka Brahmin Mahasabha, Bangalore is the construction of a women's housework (hostel) for girls in Padmanabhanagar.",5.0
37,2014-15,30,"ಶ್ರೀ ವೆಂಕಟಾಚಲಯ್ಯ ಬಿನ್ ನಾರಾಯಣಪ್ಪ, ನಂ.210, 5ನೇ ಮುಖ್ಯರಸ್ತೆ, ಚನ್ನಮ್ಮನ ಕೆರೆ, ಮಂಜುನಾಥ ಸ್ಲಂ, ಟಿ,ಆರ್.ನಗರ, ಬೆಂ. ಇವರಿಗೆ ಶ್ರವಣ ಸಾಧನ ಖರೀದಿಗಾಗಿ.","Sri Venkatachalya Bin Narayanappa, No.210, 5th Main Road, Chennamma Lake, Manjunath Slum, T, R. Nagar, Bell. For audio equipment purchase.",0.85
38,2014-15,31,ಬಿ.ಹೆಚ್.ಸಿ.ಎಸ್ ಬಡಾವಣೆಯ ಮಕ್ಕಳ ಆಟದ ಮೈದಾನದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.,BHCS Layout Children's playground development work.,10.0
39,2014-15,32,ದಿನೇಶ್ ಬಿನ್ ಚಂದ್ರಣ್ಣ ರವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.,Dinesh Bin Chandranna for Triplicate Vehicle Purchase.,0.84
40,2014-15,33,"ದೇವರಾಜು.ಬಿ ಬಿನ್ ಬೋರಯ್ಯ, ನಂ.327, 7ನೇ ಕ್ರಾಸ್, ಬಿ.ಎಸ್.ಕೆ. 2ನೇ ಹಂತ, ಚಿಕ್ಕೇಗೌಡನಪಾಳ್ಯ, ಸುಬ್ರಮಣ್ಯಪುರ ಮುಖ್ಯರಸ್ತೆ, ಬೆಂ-61 ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Devaraju B.Bin Boraiah, No.327, 7th Cross, B.S.K. 2nd phase, Chikegowdanapalya, Subramaniapuram main road, BM-61 for a three-wheel drive vehicle.",0.82
41,2014-15,34,"ಶ್ರೀನಿವಾಸ್.ಬಿ.ವಿ ಬಿನ್ ವೆಂಕಟೇಶ್ ಗೌಡ, ಇಟ್ಟುಮಡು, ವಾರ್ಡ್ ನಂ.186, ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Srinivas.B.V. Bin Venkatesh Gowda, Itummadu, Ward No.186, for Triplicate Vehicle Purchase.",0.84
42,2014-15,35,"ಭಾನುಮತಿ.ಬಿ.ವಿ, ನಂ.283, 16ನೇ ಕ್ರಾಸ್, ಇಟ್ಟುಮಡು ಮುಖ್ಯರಸ್ತೆ, ಬಿ.ಎಸ್.ಕೆ. 3ನೇ ಹಂತ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Bhanumathi.BV, No.283, 16th Cross, Idummadu Main Road, BSK. Step 3, b. For a three-wheel drive vehicle.",0.89
43,2014-15,36,"ಲೋಕೇಶ್, ನಂ.15, 4ನೇ ಅಡ್ಡರಸ್ತೆ, 6ನೇ ಮುಖ್ಯರಸ್ತೆ, ಪಾಪಯ್ಯ ಗಾರ್ಡನ್, ಬನಶಂಕರಿ 3ನೇ ಹಂತ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Lokesh, No. 15, 4th Cross, 6th Main Road, Papaya Garden, Banasankari 3rd Stage, Bell. For a three-wheel drive vehicle.",0.84
44,2014-15,37,"ಶ್ರೀನಿವಾಸ್ ಬಿನ್ ನರಸಿಂಹಯ್ಯ, ಗೌಡನಪಾಳ್ಯ, ಪದ್ಮನಾಭನಗರ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Srinivas bin Narasimhaiah, Gowdanapalya, Padmanabhanagar, b. For a three-wheel drive vehicle.",0.77
45,2015-16,1,"ಶ್ರೀ ಶಿವಣ್ಣ, ನಂ.234/2, ಬೈರಪ್ಪ ಬ್ಲಾಕ್, 2ನೇ ಬ್ಲಾಕ್, 4ನೇ ಮುಖ್ಯರಸ್ತೆ, ತ್ಯಾಗರಾಜನಗರ, ಬಸವನಗುಡಿ, ಬೆಂಗಳೂರು ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ","Mr. Shivanna, No.234 / 2, Byrappa Block, 2nd Block, 4th Main Road, Tyagarajanagar, Basavanagudi, Bangalore For Triplicate Vehicle Purchase",0.88
46,2015-16,2,"ಪದ್ಮನಾಭನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಬರುವ ವಾರ್ಡ್ ನಂ.165ರ ಗಣೇಶ ಮಂದಿರ ವಾರ್ಡ್‍ನಲ್ಲಿ ಓಂ ಶಕ್ತಿ ಗಣಪತಿ ದೇವಸ್ಥಾನದ ಪಕ್ಕ, ಲಕ್ಷ್ಮಣಪ್ಪ ಗಾರ್ಡ್‍ನ್, ಇಲ್ಲಿ ಕಿರು ನೀರು ಸರಬರಾಜು ಯೋಜನೆ ಕಾಮಗಾರಿ","Located at Padmanabhanagar Assembly Constituency Ward 165 Ganesh Mandir Ward, side of Om Shakti Ganapati Temple, Lakshmanappa Gardin, Small Water Supply Project Works",6.0
47,2015-16,3,Providing Painting of Sports  Characters for the Shuttle Cock Court and front wall of Shri Atal Bihari Vajapeyi Play ground in Yediyur ward No.167.,Providing Painting of Sports  Characters for the Shuttle Cock Court and front wall of Shri Atal Bihari Vajapeyi Play ground in Yediyur ward No.167.,9.0
48,2015-16,4,Providing Vinyle Flooring for the  Shuttle Cock Court in Yediyur ward No.167.,Providing Vinyle Flooring for the  Shuttle Cock Court in Yediyur ward No.167.,3.2
49,2015-16,5,Providing Cladding and entrance gate and SS name plate to Ranadheera Kantirava Park at Yediyur ward No.167.,Providing Cladding and entrance gate and SS name plate to Ranadheera Kantirava Park at Yediyur ward No.167.,3.7
50,2015-16,6,"ಶ್ರೀ ನವಾಬ್ ಜಾನ್ ಬಿನ್ ಸಯದ್ ಅಬ್ದುಲ್ ರಜಾಕ್, ನಂ.267, ಎಸ್.ವಿ.ಎಸ್.ಶಾಲೆ ಹತ್ತಿರ, ರಾರಬ್‍ನಗರ, ಬೆಂಗಳೂರು ಇವರಿಗೆ ತ್ರಿವಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ","Mr Nawab, John Bin Zayed Abdul Razak, No.267, near SVS School, for Triquak Vehicle Purchase to Rarabnagar, Bangalore",0.82
51,2015-16,7,"ಶ್ರೀ ಗಂಗಾಧರ್ ಬಿನ್ ಅಂದನಪ್ಪ, ನಂ:365, 5ನೇ ಕ್ರಾಸ್, ಕಾವೇರಿನಗರ, ಬಿ.ಎಸ್.ಕೆ 2ನೇ ಹಂತ, ಬೆಂಗಳೂರು-70 ಇವರಿಗೆ ತ್ರಿವಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ","Sri Gangadhar bin Aandanappa, No. 365, 5th Cross, Kaverinagar, BSK 2nd Stage, Bangalore-70 For Triquak Vehicle Purchase",0.89
