Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
22,2013-14,22,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ 28ನೇ ಕ್ರಾಸ್ ಶ್ರೀರಾಮ ದೇವಾಲಯ ರಸ್ತೆ ಡಾ.ಸದಾನಂದ ರವರ ಮನೆಯ ಹತ್ತಿರ- ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್‍ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No 148, 28th Cross Sri Sri Rama Temple Road, Sadananda Road, Adjoining the House, Water Tanker, Water Supply Work, Pipeline.",0.0
23,2013-14,23,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ 21ನೇ ಅಡ್ಡರಸ್ತೆ, 6ನೇ ಕ್ರಾಸ್ ಶ್ರೀರಾಮ ದೇವಾಲಯ ರಸ್ತೆ ಪಾಲ್ ನರ್ಸರಿ ರಸ್ತೆ- ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್‍ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No. 148, Ezhipur 21st Crossroads, 6th Cross Sriram Temple Road Road Nursery Road - Tube Wells, Water Tankers, Water Supply Works by Pipeline.",0.0
24,2013-14,24,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ ಶ್ರೀ ಲಕ್ಷ್ಮಿ ಫಾಸ್ಟ್ ಪುಡ್ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No. 148, Ezhipuram near the Sri Lakshmi Fast Puddle, a water tanker is installed and water supply works through the pipeline.",0.0
25,2013-14,25,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ 20-ಎನೇ ಅಡ್ಡರಸ್ತೆ (ಶ್ರೀ ರಾಮ ದೇವಾಲಯ ರಸ್ತೆ ಹಿಂಭಾಗ) ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No. 148, Ezhipur 20th NH crossing (Shri Rama Temple road back) is a tube well drilled by water tanker and water supply through pipe line.",0.0
26,2013-14,26,"ವಾರ್ಡ್ ನಂ.148 ಈಜೀಪುರ 21- ಎನೇ ಅಡ್ಡರಸ್ತೆ ಶ್ರೀ ರಾಮ ದೇವಾಲಯ ರಸ್ತೆ- ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No 148 Ezhipur 21st Crossroads Sri Rama Temple Road-Pipe Well Drilled Water Tanker, Water Supply Work Through Pipe Line.",0.0
27,2013-14,27,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲದ ಕೆ.ಆರ್.ಗಾರ್ಡ್‍ನ್ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.",Ward No.151 Koramangala KR Gordon Pipe Well drilled water tanker and water supply works through the pipeline.,0.0
28,2013-14,28,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ ಗ್ರಾಮ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.",Ward No.151 Koramangala Gram pipe well drilled water tanker and water supply work through pipeline.,0.0
29,2013-14,29,ವಾರ್ಡ್ ನಂ.146 ಲಕ್ಕಸಂದ್ರದ ಸತ್ತಾರ್ ಬಡಾವಣೆ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.,Water supply works through the pipeline by utilizing a water tanker by the Watt No.146 Lakhasandra Sattar Layout pipe well.,0.0
30,2013-14,30,"ವಾರ್ಡ್ ನಂ.173 ಜಕ್ಕಸಂದ್ರದ 7ನೇ ಎ ಕ್ರಾಸ್ ವೆಂಕಾಟಪುರ ಮುಖ್ಯರಸ್ತೆ, ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No.173 7th A Cross Venkatapuram Main Road, Water Supply Project by Pipeline Line, Tube Well Drilling Water Tanker.",0.0
31,2013-14,31,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ 1ನೇ ಬ್ಲಾಕ್ ಜಕ್ಕಸಂದ್ರ ಎಕ್ಸ್‍ಟೆನ್‍ಷನ್, 1ನೇ ಮೈನ್ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No.151 Koramangala 1st Block Jakasandra Extension, 1st Mine Pipe Well Drinking Water Tanker, Water Supply Work Through Pipe Line.",0.0
32,2013-14,32,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ 1ನೇ ಬ್ಲಾಕ್ 1ನೇ ಮೈನ್, ಜಕ್ಕಸಂದ್ರ ಶ್ರೀ ಮುನೇಶ್ವರ ದೇವಸ್ಥಾನದ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No.151 Koramangala 1st Block 1st Mine, Water Supply Project by Pipeline Line by Water Tanker near Jakasandra Sri Muneswara Temple.",0.0
33,2013-14,33,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರದ ಸಂಪಂಗಿರಾಮಯ್ಯ ರಸ್ತೆ, 21ನೇ ಅಡ್ಡರಸ್ತೆ, -ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No. 148, Sampangiramayya Road, 21th Cross, Ezhipuram, Water Supply Project by Pipeline, Water Tanker.",7.0
34,2013-14,34,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ 5ನೇ ಕ್ರಾಸ್, ಶ್ರೀನಿವಾಗಿಲು ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್‍ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No.148- Ezipur 5th Cross, Sugar Pipe Well Drilled Water Tanker, Water Supply Work Through Pipeline.",6.0
35,2013-14,35,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲದ, ಎನ್.ಜಿ.ವಿ ಯ ಜೆ-1 ಜುಡಿಷಿಯಲ್ ಬ್ಲಾಕ್‍ನಲ್ಲಿ -ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.",Ward No .151 Water Supply Work Through Pipe Line Implementing Water Tanker in NGV J-1 Judicial Block at Koramangala.,6.0
36,2013-14,36,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ 4ನೇ ಬ್ಲಾಕ್, 8ನೇ ಬಿ ಮೈನ್‍ನಲ್ಲಿ -ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No.151 Koramangala 4th Block, 8th B Mine - Construction of water supply through Pipeline by water tanker and water tanker.",6.0
37,2013-14,37,ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲದ ಕೆ.ಆರ್.ಗಾರ್ಡ್‍ನ್‍ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.,Ward No. 151 Construction of the tube well at KR Gardham in Koramangala.,2.4
38,2013-14,38,ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲದ ಕೆ.ಆರ್.ಗಾರ್ಡ್‍ನ್‍ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.,"Ward No.151 The pump and motor installation work for the pipe well at KR Gardham, Koramangala.",2.4
39,2013-14,39,ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲದ ಕೆ.ಆರ್.ಗಾರ್ಡ್‍ನ್‍ನಲ್ಲಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.,"Ward No.151 Construction of water supply and power through the pipeline at KR Gardam, Koramangala.",1.2
40,2013-14,40,ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ - ಕೋರಮಂಗಲ ಗ್ರಾಮದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.,Ward No.151 Koramangala - The construction of the tube well in the Koramangala village.,2.5
41,2013-14,41,ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ - ಕೋರಮಂಗಲ ಗ್ರಾಮದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.,Ward No.151 Koramangala - Pump and motor installation work for the pipe well in Koramangala village.,2.5
42,2013-14,42,ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ - ಕೋರಮಂಗಲ ಗ್ರಾಮದಲ್ಲಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.,Ward No.151 Koramangala - Construction of water supply and power through Pipeline in Koramangala village.,1.0
43,2013-14,43,ವಾರ್ಡ್ ನಂ.146 ಲಕ್ಕಸಂದ್ರದ ಸತ್ತಾರ್ ಬಡಾವಣೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.,WORLD No. 146 Borewell workshops in Sattar Layout in Lakshadweep.,2.5
44,2013-14,44,ವಾರ್ಡ್ ನಂ.146 ಲಕ್ಕಸಂದ್ರದ ಸತ್ತಾರ್ ಬಡಾವಣೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.,Work on pump and motor to the nozzle well at Sattar Layout Ward No. 146 Lakshadra.,2.5
45,2013-14,45,ವಾರ್ಡ್ ನಂ.146 ಲಕ್ಕಸಂದ್ರದ ಸತ್ತಾರ್ ಬಡಾವಣೆಯಲ್ಲಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.,Water supply and power connection through the pipeline in the Sattar Layout of Ward No. 146 Lakshadra.,1.0
46,2013-14,46,ವಾರ್ಡ್ ನಂ.173 ಜಕ್ಕಸಂದ್ರದ 7ನೇ ಎ ಕ್ರಾಸ್ ವೆಂಕಾಟಪುರ ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.,WORLD No.173 7th A Cross of Venkatapura is the construction of the tube well at Venkatupura mainland.,2.4
47,2013-14,47,ವಾರ್ಡ್ ನಂ.173 ಜಕ್ಕಸಂದ್ರದ 7ನೇ ಎ ಕ್ರಾಸ್ ವೆಂಕಾಟಪುರ ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.,Ward No.173 7th A Cross of Venkatupura Main article: Pump and motor installation to the tube wells.,2.4
48,2013-14,48,ವಾರ್ಡ್ ನಂ.173 ಜಕ್ಕಸಂದ್ರದ 7ನೇ ಎ ಕ್ರಾಸ್ ವೆಂಕಾಟಪುರ ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.,Work on water supply and power connectivity through the pipeline at the 7th A Cross of Venkatapuram on Ward No.173.,1.2
49,2013-14,49,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲದ 1ನೇ ಬ್ಲಾಕ್ ಜಕ್ಕಸಂದ್ರ ಎಕ್ಸ್‍ಟೆನ್‍ಷನ್, 1ನೇ ಮೈನ್‍ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No.151 1st Black Jakasandra Extension of Koramangala, Tube Well Drilling Work at 1st Mine.",2.5
50,2013-14,50,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲದ 1ನೇ ಬ್ಲಾಕ್ ಜಕ್ಕಸಂದ್ರ ಎಕ್ಸ್‍ಟೆನ್‍ಷನ್, 1ನೇ ಮೈನ್‍ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No.151 1st Black Jakasandra Extension of Koramangala, Pump and Motor Installment for Tube Well at 1st Mine.",2.5
51,2013-14,51,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲದ 1ನೇ ಬ್ಲಾಕ್ ಜಕ್ಕಸಂದ್ರ ಎಕ್ಸ್‍ಟೆನ್‍ಷನ್, 1ನೇ ಮೈನ್‍ನಲ್ಲಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No.151 1st Block Jakasandra Extension of Koramangala, Construction of Water Supply and Electricity Through Pipe Line at 1st Mine.",1.0
52,2013-14,52,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ 1ನೇ ಬ್ಲಾಕ್ 1ನೇ ಮೈನ್, ಜಕ್ಕಸಂದ್ರ ಶ್ರೀ ಮುನೇಶ್ವರ ದೇವಸ್ಥಾನದ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No.151 Koramangala 1st Block 1st Mine, Jakkasandra Sri Muneeshwara Temple is a tube well drilling plant.",2.4
