Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
11,2013-14,11,"Providing Drilling Borewell and Drinking water supply and public fountain at Kaval Bhyrasandr, Near Bus Stand Sc/St Colony Pulakeshinagara Assembly Constituency Bangalore","Providing Drilling Borewell and Drinking water supply and public fountain at Kaval Bhyrasandr, Near Bus Stand Sc/St Colony Pulakeshinagara Assembly Constituency Bangalore",10.0
12,2013-14,12,"Construction of Dinning hall to Good wills Girls School St.Johns road in Pulikeshinagara Assembly constituency, Bangalore.Change of WorkInstallation of RO Purified Drinking water unit at Kavalbyrasandra near bus stand, Ward nM.132, Pulikeshinagara Assembly constituency, Bangalore.","Construction of Dinning hall to Good wills Girls School St.Johns road in Pulikeshinagara Assembly constituency, Bangalore.Change of WorkInstallation of RO Purified Drinking water unit at Kavalbyrasandra near bus stand, Ward nM.132, Pulikeshinagara Assembly constituency, Bangalore.",10.0
13,2013-14,13,ಪುಲಕೇಶಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ಶಿವರಾಜ್ ರಸ್ತೆ ವಾರ್ಡ್ ನಂ. 48ರಲ್ಲಿ 2ನೇ ಅಡ್ಡರಸ್ತೆ ಯಿಂದ ಶ್ರೀ ಮುರುಗನ್ ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ಕಾಮಗಾರಿ (ಹಂತ-1),Shivaraj Road Ward Ward from Pulakeshinagar constituency. Cement Concrete Road Work (Phase I) From 2nd Cross Road to Sri Murugan House,2.5
14,2013-14,14,ಪುಲಕೇಶಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ಶಿವರಾಜ್ ರಸ್ತೆ ವಾರ್ಡ್ ನಂ. 48ರಲ್ಲಿ 2ನೇ ಅಡ್ಡರಸ್ತೆ ಯಿಂದ ಶ್ರೀ ಮುರುಗನ್ ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ಕಾಮಗಾರಿ (ಹಂತ-2),Shivaraj Road Ward Ward from Pulakeshinagar constituency. Cement Concrete Road Work (Phase 2) From 2nd Cross Road to 48 to Mr Murugan's House,2.5
15,2013-14,15,Providing additional water supply and public fountain near Bus stand at Kabal Byrasandra pulikeshinagara Assembly Constituency Bangalore,Providing additional water supply and public fountain near Bus stand at Kabal Byrasandra pulikeshinagara Assembly Constituency Bangalore,1.8
16,2013-14,16,"Providing drilling Borewell of public fountain in Ashokanagar near Tamil School in ward No.31 Pulikeshinagar, Assembly Consititency Bangalore.","Providing drilling Borewell of public fountain in Ashokanagar near Tamil School in ward No.31 Pulikeshinagar, Assembly Consititency Bangalore.",10.0
17,2013-14,17,"Providing digging borewell drinking water supply at Goodwill's  school near Cole's park, pronond road, Frazer Town ward No.78, Pulikeshinagar, Assembly Constituency Bangalore.","Providing digging borewell drinking water supply at Goodwill's  school near Cole's park, pronond road, Frazer Town ward No.78, Pulikeshinagar, Assembly Constituency Bangalore.",10.0
18,2013-14,18,"Providing digging borewell drinking water supply at Goodwill's  school, RTC Girls School,, pronond road, Frazer Town ward No.78, Pulikeshinagar, Assembly Constituency Bangalore.","Providing digging borewell drinking water supply at Goodwill's  school, RTC Girls School,, pronond road, Frazer Town ward No.78, Pulikeshinagar, Assembly Constituency Bangalore.",10.0
19,2013-14,19,"Sinking of Borewell & errection of cistern  in ward No.32 M.M.Layout, Muneshwaranagara Temple behind, Kaval Byarasandra, Pulikaeshinagara Assembly Constituency Bangalore.","Sinking of Borewell & errection of cistern  in ward No.32 M.M.Layout, Muneshwaranagara Temple behind, Kaval Byarasandra, Pulikaeshinagara Assembly Constituency Bangalore.",2.5
20,2013-14,20,"Providing pump Motos with electrical facilities & Pipe line in ward No.32 M.M.Layout Muneshwaranagara Temple behind, Kaval Byarasandra, Pulikaeshinagara Assembly Constituency Bangalore.","Providing pump Motos with electrical facilities & Pipe line in ward No.32 M.M.Layout Muneshwaranagara Temple behind, Kaval Byarasandra, Pulikaeshinagara Assembly Constituency Bangalore.",2.5
21,2013-14,21,"Sinking of Borewell & errection of cistern  in ward No.32 P.N.T Quarters Kaval Byarasandra, Pulikaeshinagara Assembly Constituency Bangalore.","Sinking of Borewell & errection of cistern  in ward No.32 P.N.T Quarters Kaval Byarasandra, Pulikaeshinagara Assembly Constituency Bangalore.",2.5
22,2013-14,22,"Providing pump Motos with electrical facilities & Pipe line in ward No.32 P.N.T Quarters Kaval Byarasandra, Pulikaeshinagara Assembly Constituency Bangalore.","Providing pump Motos with electrical facilities & Pipe line in ward No.32 P.N.T Quarters Kaval Byarasandra, Pulikaeshinagara Assembly Constituency Bangalore.",2.5
23,2013-14,23,"Providing of cement concrete road at Karumariyamma nagara , 3rd main road form M.S.Building to Khan Manzil in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.","Providing of cement concrete road at Karumariyamma nagara , 3rd main road form M.S.Building to Khan Manzil in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.",2.5
24,2013-14,24,"Providing of cement concrete road at Karumariyamma nagara , 3rd main road form  Khan Manzil to Indian Children English School in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.","Providing of cement concrete road at Karumariyamma nagara , 3rd main road form  Khan Manzil to Indian Children English School in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.",2.5
25,2013-14,25,"Providing of cement concrete road at Karumariyamma nagara , 3rd main road form Indian Children English School to Sam Enterprises in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.","Providing of cement concrete road at Karumariyamma nagara , 3rd main road form Indian Children English School to Sam Enterprises in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.",1.5
26,2013-14,26,"Providing of cement concrete road at Kushalnagar from 14th cross Palani house to Mohammed house in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.","Providing of cement concrete road at Kushalnagar from 14th cross Palani house to Mohammed house in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.",2.5
27,2013-14,27,"Providing of cement concrete road at Kushalnagar from 14th cross  Mohammed house to Zaeba Noodles house  in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.","Providing of cement concrete road at Kushalnagar from 14th cross  Mohammed house to Zaeba Noodles house  in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.",2.5
28,2013-14,28,"Providing of cement concrete road at Kushalnagar from 14th cross  Zaeba Noodles house to S.A.Peer in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.","Providing of cement concrete road at Kushalnagar from 14th cross  Zaeba Noodles house to S.A.Peer in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.",2.0
29,2013-14,29,"Providing of cement concrete road at Kushalnagar from 14th cross  S.A.Peer to Selvan house in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.","Providing of cement concrete road at Kushalnagar from 14th cross  S.A.Peer to Selvan house in ward No.31, Pulikeshinagar Assembly Constituency, Bangalore.",1.5
30,2013-14,30,"Providing cement concrets road, RCC drain with covering slab and kerb stone at Basavanagara, SC/ST colony from Sagai Raja to 1st cross, Basavanagara in w.No.31","Providing cement concrets road, RCC drain with covering slab and kerb stone at Basavanagara, SC/ST colony from Sagai Raja to 1st cross, Basavanagara in w.No.31",2.5
31,2013-14,31,"Providing cement concrets road, RCC drain with covering slab and kerb stone at 1st cross Basavanagara, to Savari house  in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at 1st cross Basavanagara, to Savari house  in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",2.5
32,2013-14,32,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Savari house to Jyothi lights  in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Savari house to Jyothi lights  in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",2.5
33,2013-14,33,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Jyothi lights to Anwar house  in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Jyothi lights to Anwar house  in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",2.5
34,2013-14,34,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Anwar house to Manjunatha house  in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Anwar house to Manjunatha house  in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",2.5
35,2013-14,35,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Pramila Mary house to M.R.House in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Pramila Mary house to M.R.House in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",2.5
36,2013-14,36,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from  M.R.House to Srinivasa house in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from  M.R.House to Srinivasa house in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",2.5
37,2013-14,37,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Srinivasa house to Shivaprakash house in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Srinivasa house to Shivaprakash house in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",2.5
38,2013-14,38,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Shivaprakash house to Immamulla prayar house in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Shivaprakash house to Immamulla prayar house in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",2.5
39,2013-14,39,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Immamulla prayar house to Baptish church in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Immamulla prayar house to Baptish church in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",0.0
40,2013-14,40,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Baptish church to Rajamma house in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore. Change Of Work:- Improvements to Asphalting Road in Goodwill Girl's School, Spenner Road, Frazer Town in ward No.Pulikeshinagar Assembly Constituency Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony from Baptish church to Rajamma house in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.Change Of Work:- Improvements to Asphalting Road in Goodwill Girl's School, Spenner Road, Frazer Town in ward No.Pulikeshinagar Assembly Constituency Bangalore.",4.0
41,2013-14,41,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony cross road in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara SC/ST colony cross road in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",1.0
42,2013-14,42,"Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara 3rd main road from Sam Enterperises to Mahammed Umar Store in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.","Providing cement concrets road, RCC drain with covering slab and kerb stone at  Karumariyamma nagara 3rd main road from Sam Enterperises to Mahammed Umar Store in W.No.31 Pulikeshinagar Assembly Constituency, Bangalore.",1.5
43,2013-14,43,"Providing additional drinking water supply & Public fountain at Ashokanagara, near Tamil school form Lakshmi.C. Nilayam to Raju's house & Jayamma house in ward No.31","Providing additional drinking water supply & Public fountain at Ashokanagara, near Tamil school form Lakshmi.C. Nilayam to Raju's house & Jayamma house in ward No.31",1.0
44,2013-14,44,Providing additional drinking water supply & Public fountain at Ashokanagara form Jayamma house to 1st cross in ward No.31.,Providing additional drinking water supply & Public fountain at Ashokanagara form Jayamma house to 1st cross in ward No.31.,1.0
45,2013-14,45,"Providing additional drinking water supply & Public fountain at Ashokanagara form Malliah house 1st cross, Basavananagar to Dasamma house 1st cross, Basavananagara in ward No.31.","Providing additional drinking water supply & Public fountain at Ashokanagara form Malliah house 1st cross, Basavananagar to Dasamma house 1st cross, Basavananagara in ward No.31.",1.0
46,2013-14,46,"Providing drilling borewell near Y.M.Public school Ashokanagara, 3rd main, 2nd cross in ward No.31.","Providing drilling borewell near Y.M.Public school Ashokanagara, 3rd main, 2nd cross in ward No.31.",2.0
47,2013-14,47,"Providing of cement concrete road form Sagayraj house to Sameena Manjil Javeed house in Muneshwaranagara, Cauvery Nagara, 1st main road, 1st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Sagayraj house to Sameena Manjil Javeed house in Muneshwaranagara, Cauvery Nagara, 1st main road, 1st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",2.0
48,2013-14,48,"Providing of cement concrete road form Abdul Rafeeq house to Shadiq basga house in Muneshwaranagara, Cauvery Nagara, 1st main road, 1st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Abdul Rafeeq house to Shadiq basga house in Muneshwaranagara, Cauvery Nagara, 1st main road, 1st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",1.9
49,2013-14,49,"Providing of cement concrete road form Neelaveni house to Fareeda manjil house in Muneshwaranagara, Cauvery Nagara, 1st main road, 2st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Neelaveni house to Fareeda manjil house in Muneshwaranagara, Cauvery Nagara, 1st main road, 2st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",2.0
50,2013-14,50,"Providing of cement concrete road form Shamshad house to Mohammad Munawarpasha house in Muneshwaranagara, Cauvery Nagara, 1st main road, 2st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Shamshad house to Mohammad Munawarpasha house in Muneshwaranagara, Cauvery Nagara, 1st main road, 2st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",1.7
51,2013-14,51,"Providing of cement concrete road form Sajad Khan house to Mohammed shabeer house in Muneshwaranagara, Cauvery Nagara, 1st main road, 2st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Sajad Khan house to Mohammed shabeer house in Muneshwaranagara, Cauvery Nagara, 1st main road, 2st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",2.0
52,2013-14,52,"Providing of cement concrete road form Masthaq Ahmed house to Azeem house in Muneshwaranagara, Cauvery Nagara, 1st main road, 3st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Masthaq Ahmed house to Azeem house in Muneshwaranagara, Cauvery Nagara, 1st main road, 3st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",1.8
53,2013-14,53,"Providing of cement concrete road form Ibrathunzisa house to Shayninataj house in Muneshwaranagara, Cauvery Nagara, 1st main road, 4st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Ibrathunzisa house to Shayninataj house in Muneshwaranagara, Cauvery Nagara, 1st main road, 4st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",1.6
54,2013-14,54,"Providing of cement concrete road form Gulam Mustafa house to Sangeethas house in Muneshwaranagara, Cauvery Nagara, 1st main road, 4st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Gulam Mustafa house to Sangeethas house in Muneshwaranagara, Cauvery Nagara, 1st main road, 4st cross, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",2.2
55,2013-14,55,"Providing of cement concrete road form Pyaregam house to Jaleel Ahmed house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore.","Providing of cement concrete road form Pyaregam house to Jaleel Ahmed house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore.",1.5
56,2013-14,56,"Providing of cement concrete road form Kalaivani house to Rashamtaj house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-1)","Providing of cement concrete road form Kalaivani house to Rashamtaj house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-1)",2.1
57,2013-14,57,"Providing of cement concrete road form Kalaivani house to Rashamtaj house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-2)","Providing of cement concrete road form Kalaivani house to Rashamtaj house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-2)",2.0
58,2013-14,58,"Providing of cement concrete road form Gayathri house to Abdul Lalith house in Muneshwaranagara, Cauvery Nagara, 1st main road, 1st cross road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-1)","Providing of cement concrete road form Gayathri house to Abdul Lalith house in Muneshwaranagara, Cauvery Nagara, 1st main road, 1st cross road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-1)",2.0
59,2013-14,59,"Providing of cement concrete road form Gayathri house to Abdul Lalith house in Muneshwaranagara, Cauvery Nagara, 1st main road, 1st cross road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-2)","Providing of cement concrete road form Gayathri house to Abdul Lalith house in Muneshwaranagara, Cauvery Nagara, 1st main road, 1st cross road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-2)",1.0
60,2013-14,60,"Providing of cement concrete road form Wahida house to Fathemunisa house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. ","Providing of cement concrete road form Wahida house to Fathemunisa house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. ",2.5
61,2013-14,61,"Providing of cement concrete road form Fathemunisa house to Zareena Begum house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. ","Providing of cement concrete road form Fathemunisa house to Zareena Begum house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. ",2.5
62,2013-14,62,"Providing of cement concrete road form Zareena Begum house to Syed Riyaz Ahmed house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. ","Providing of cement concrete road form Zareena Begum house to Syed Riyaz Ahmed house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. ",2.0
63,2013-14,63,"Providing of cement concrete road form Aslam pasha house to Shanaz house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-1)","Providing of cement concrete road form Aslam pasha house to Shanaz house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-1)",2.0
64,2013-14,64,"Providing of cement concrete road form Aslam pasha house to Shanaz house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-2)","Providing of cement concrete road form Aslam pasha house to Shanaz house in Muneshwaranagara, Cauvery Nagara, 1st main road, ward No.48, Pulikeshinagara Assembly constituency Banaglore. (stage-2)",0.7
65,2013-14,1,"ಬೆಂಗಳೂರು ಆರ್.ಟಿ.ನಗರ, ದಿನ್ನೂರು ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿರುವ ಲಾಲ್ ಬಹದ್ದೂರ್ ಶಾಸ್ತ್ರಿ ಮೊದಲ ದರ್ಜೆ ಸರ್ಕಾರಿ ಕಾಲೇಜು ಕಟ್ಟಡದಲ್ಲಿ ಗ್ರಾನೈಟ್ ನೆಲಹಾಸು, ಅಲ್ಯುಮಿನಿಯಂ ಕಿಟಕಿಗಳು, ಜಲನಿರೋಧಕ ಲೇಪನ ಪದರ ಮತ್ತು ಬಣ್ಣ ಬಳಿಯುವುದು ಹೊರ ಆವರಣದಲ್ಲಿ ಹಾಳಾದ ಜಾಗಕ್ಕೆ ಕಾಂಕ್ರೀಟ್ ಹಾಕುವುದು ಹಾಗೂ ಇತರೆ ದುರಸ್ಥಿ ಕಾಮಗಾರಿ.","Granite flooring, aluminum windows, waterproof coating layer and paint in concrete making and other repair work in the outer premises of Lal Bahadur Shastri's First Grade Government College Building in Dtnur Main Road, Bangalore RT Nagar.",4.95
