Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
11,2013-14,11,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಜುಮ್ಮಾ ಮಸೀದಿ ರಸ್ತೆಯಲ್ಲಿ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ಮತ್ತು ಕಲ್ಬರ್ಟ್ ನಿರ್ಮಾಣ","Bangalore City, Shivajinagar VS Cement concrete road and Kalbert construction on the field Ward No. 92 Juma Masjid Road",1.1
12,2013-14,12,"Construction of SSM Drain and Covering slab at shivajinagar, ward No 92, Shivajinagar Assembly constiturncy Bangalore (Thimmaiah road to saicon             )","Construction of SSM Drain and Covering slab at shivajinagar, ward No 92, Shivajinagar Assembly constiturncy Bangalore (Thimmaiah road to saicon             )",2.5
13,2013-14,13,"Construction of SSM Drain and Covering slab at shivajinagar, ward No 92, Shivajinagar Assembly constiturncy Bangalore (Saicon leathers to HBS Hospital)","Construction of SSM Drain and Covering slab at shivajinagar, ward No 92, Shivajinagar Assembly constiturncy Bangalore (Saicon leathers to HBS Hospital)",2.5
14,2013-14,14,"Construction of SSM Drain and Covering slab at shivajinagar, ward No 92, Shivajinagar Assembly constiturncy Bangalore ( HBS Hospital to Select Pharmacy)","Construction of SSM Drain and Covering slab at shivajinagar, ward No 92, Shivajinagar Assembly constiturncy Bangalore ( HBS Hospital to Select Pharmacy)",2.5
15,2013-14,15,"Construction of SSM Drain and Covering slab at shivajinagar, ward No 92, Shivajinagar Assembly constiturncy Bangalore (  Select Pharmacy to Bast Primary school)","Construction of SSM Drain and Covering slab at shivajinagar, ward No 92, Shivajinagar Assembly constiturncy Bangalore (  Select Pharmacy to Bast Primary school)",2.5
16,2013-14,16,"Balance portion o fShelter works at OPD Section in Bowring and lady curzan Hospital in ward No. 110, Shivajinagar Assembly constiturncy Bangalore ","Balance portion o fShelter works at OPD Section in Bowring and lady curzan Hospital in ward No. 110, Shivajinagar Assembly constiturncy Bangalore ",2.5
17,2013-14,17,"Finishing portion Shelter works at OPD Section in Bowring and lady curzan Hospital in ward No. 110, Shivajinagar Assembly constiturncy Bangalore ","Finishing portion Shelter works at OPD Section in Bowring and lady curzan Hospital in ward No. 110, Shivajinagar Assembly constiturncy Bangalore ",2.5
18,2013-14,18,"Providing of Cement Concrete Road in Bno.13  ward No 92, Shivajinagara Assembly Constituency Bangalore ","Providing of Cement Concrete Road in Bno.13  ward No 92, Shivajinagara Assembly Constituency Bangalore ",2.5
19,2013-14,19,"Providing of Cement Concrete Road in Bno.13  ward No 92, Shivajinagara Assembly Constituency Bangalore ","Providing of Cement Concrete Road in Bno.13  ward No 92, Shivajinagara Assembly Constituency Bangalore ",2.5
20,2013-14,20,"Providing of Cement Concrete Road in Bno.1  ward No 92, Shivajinagara Assembly Constituency Bangalore ","Providing of Cement Concrete Road in Bno.1  ward No 92, Shivajinagara Assembly Constituency Bangalore ",2.5
21,2013-14,21,"Providing of Cement Concrete Road in Broadway road cross ward No 92, Shivajinagara Assembly Constituency Bangalore ","Providing of Cement Concrete Road in Broadway road cross ward No 92, Shivajinagara Assembly Constituency Bangalore ",2.5
22,2013-14,22,"Providing of Cement Concrete Road in B.No.2 ward No 92, Shivajinagara Assembly Constituency Bangalore ","Providing of Cement Concrete Road in B.No.2 ward No 92, Shivajinagara Assembly Constituency Bangalore ",2.5
23,2013-14,23,"Providing of Cement Concrete Road inChandni chowk road cross ward No 92, Shivajinagara Assembly Constituency Bangalore ","Providing of Cement Concrete Road inChandni chowk road cross ward No 92, Shivajinagara Assembly Constituency Bangalore ",2.5
24,2013-14,24,"Providing of Cement Concrete Road in E.No.1  ward No 92, Shivajinagara Assembly Constituency Bangalore ","Providing of Cement Concrete Road in E.No.1  ward No 92, Shivajinagara Assembly Constituency Bangalore ",2.5
25,2013-14,25,Providing Asphalting to Road at Bowring and lady curzan hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore,Providing Asphalting to Road at Bowring and lady curzan hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore,13.0
26,2013-14,26,Construction of Pathway to in the premises of bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore (Stage-1),Construction of Pathway to in the premises of bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore (Stage-1),2.5
27,2013-14,27,Construction of Pathway to in the premises of bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore (Stage-2),Construction of Pathway to in the premises of bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore (Stage-2),2.5
28,2013-14,28,Construction of Toilet blocks fro male and female at central laboratory in bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore,Construction of Toilet blocks fro male and female at central laboratory in bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore,6.0
29,2013-14,29,Providing Police chowki in  in bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore,Providing Police chowki in  in bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore,1.8
30,2013-14,30,Providing Security room  in bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore,Providing Security room  in bowring and lady curzan Hospital in ward No 110 Shivajinagara Assembly Constituency Bangalore,1.8
31,2013-14,31,"Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, Entrance to Thimmaiah road to Sigma farticizous, Stage -1","Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, Entrance to Thimmaiah road to Sigma farticizous, Stage -1",2.5
32,2013-14,32,"Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, Saxon leathers to HBS Hospital","Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, Saxon leathers to HBS Hospital",2.5
33,2013-14,33,"Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, HBS Hospital to Select Pharma","Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, HBS Hospital to Select Pharma",2.5
34,2013-14,34,"Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore,Select Pharma to Best Nursery School","Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore,Select Pharma to Best Nursery School",2.5
35,2013-14,35,"Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore,nisan motors to Roshani Electronicals","Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore,nisan motors to Roshani Electronicals",2.5
36,2013-14,36,"Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, Bismillah Shah masjid to Govt. tamil School","Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, Bismillah Shah masjid to Govt. tamil School",2.5
37,2013-14,37,"Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, Nisan motors to Roshani Electricals","Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, Nisan motors to Roshani Electricals",2.5
38,2013-14,38,"Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, ","Reinformed cement concret pavenects at cockburn road, ward No 92, Shivajinagara Assembly Constituency Bangalore, ",2.5
39,2013-14,39,"Detailed estimate for constructing RCC Drain Covering slab, and Kerbs from Mahira grand marriage hall to Thimmaiah cross road, Shivajinagara Assembly Constituency Bangalore ","Detailed estimate for constructing RCC Drain Covering slab, and Kerbs from Mahira grand marriage hall to Thimmaiah cross road, Shivajinagara Assembly Constituency Bangalore ",11.0
40,2013-14,40,"Construction of Compound wall at Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony","Construction of Compound wall at Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony",2.6
41,2013-14,41,"Construction of RCC Drain from Thimmaiah Road to Coals street, Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony","Construction of RCC Drain from Thimmaiah Road to Coals street, Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony",2.8
42,2013-14,42,"Construction of Compound wall from Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony (Stage-1)","Construction of Compound wall from Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony (Stage-1)",10.0
43,2013-14,43,"Construction of Compound wall from Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony (Stage-2)","Construction of Compound wall from Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony (Stage-2)",10.0
44,2013-14,44,Providing cement concrete road to Chandni chowk cross road ward No 92 Shivajinagara Assembly Constituency Bangalore,Providing cement concrete road to Chandni chowk cross road ward No 92 Shivajinagara Assembly Constituency Bangalore,5.5
45,2013-14,45,Providing cement concrete road to Chandni chowk cross from Bilal Bakery ward No 92 Shivajinagara Assembly Constituency Bangalore,Providing cement concrete road to Chandni chowk cross from Bilal Bakery ward No 92 Shivajinagara Assembly Constituency Bangalore,10.0
46,2013-14,46,Providing cement concrete road at B.No.18 near Hari masjid  ward No 92 Shivajinagara Assembly Constituency Bangalore,Providing cement concrete road at B.No.18 near Hari masjid  ward No 92 Shivajinagara Assembly Constituency Bangalore,8.0
47,2013-14,47,Construction of SSM Drain near Hari masjid  ward No 92 Shivajinagara Assembly Constituency Bangalore,Construction of SSM Drain near Hari masjid  ward No 92 Shivajinagara Assembly Constituency Bangalore,4.0
48,2013-14,48,"Construction of RCC Culverts at B.No.16, C..No.4 and Nova Street, ward No 92 Shivajinagara Assembly Constituency Bangalore","Construction of RCC Culverts at B.No.16, C..No.4 and Nova Street, ward No 92 Shivajinagara Assembly Constituency Bangalore",3.0
49,2013-14,49,"Construction of RCC Culverts covering slab, kerb stones from Royal tea to Golden hatcheries,  Shivajinagara Assembly Constituency Bangalore","Construction of RCC Culverts covering slab, kerb stones from Royal tea to Golden hatcheries,  Shivajinagara Assembly Constituency Bangalore",27.0
50,2013-14,50,"Providing cement concrete road from Venkatesh house to Vimala house near Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony ","Providing cement concrete road from Venkatesh house to Vimala house near Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony ",2.5
51,2013-14,51,"Providing cement concrete road from Vimala house  to Jaya kumars house, near Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony ","Providing cement concrete road from Vimala house  to Jaya kumars house, near Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony ",2.5
52,2013-14,52,"Providing cement concrete road from Jaya kumars house to Kiran House near Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony ","Providing cement concrete road from Jaya kumars house to Kiran House near Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony ",2.5
53,2013-14,53,"Providing cement concrete road from  Kiran House to Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony ","Providing cement concrete road from  Kiran House to Thimmaiah road to near Poura Karmika Quarters Multistaoried Building Ward No 92,  Shivajinagara Assembly Constituency Bangalore SC/ST Colony ",2.5
54,2013-14,54,"Providing cement concrete road from  Khadar House to Setpen square B.No.1 Chandni chowk Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from  Khadar House to Setpen square B.No.1 Chandni chowk Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.0
55,2013-14,55,"Providing cement concrete road from  Setpen square B.No.2 to B.No.3 Chandni chowk Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from  Setpen square B.No.2 to B.No.3 Chandni chowk Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.0
56,2013-14,56,"Providing cement concrete road from  Setpen square B.No.3 Chandni chowk Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from  Setpen square B.No.3 Chandni chowk Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",1.5
57,2013-14,57,"Providing cement concrete road from  Bilal masjid to syed ahmed cross road, chandni chowki  Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from  Bilal masjid to syed ahmed cross road, chandni chowki  Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.5
58,2013-14,58,"Providing cement concrete road from  syed ahmed cross road to HMS Java garage, chandni chowki  Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from  syed ahmed cross road to HMS Java garage, chandni chowki  Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.5
59,2013-14,59,"Providing cement concrete road from  HMS Java garage to Youself enter prises, chandni chowki  Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from  HMS Java garage to Youself enter prises, chandni chowki  Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.5
60,2013-14,60,"Providing cement concrete road from Yousuf enter prises to Masood ouresyis chandni chowki  Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from Yousuf enter prises to Masood ouresyis chandni chowki  Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.5
61,2013-14,61,"Providing cement concrete road from Aziz stores to Hobib house hari masjid Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from Aziz stores to Hobib house hari masjid Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.0
62,2013-14,62,"Providing cement concrete road from  Hobib house to Bala house hari masjid Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from  Hobib house to Bala house hari masjid Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.0
63,2013-14,63,"Providing cement concrete road from Bala house to ramesh hose, hari masjid Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from Bala house to ramesh hose, hari masjid Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.0
64,2013-14,64,"Providing cement concrete road from ramesh hose to Yamuna house, hari masjid Ward No 92,  Shivajinagara Assembly Constituency Bangalore ","Providing cement concrete road from ramesh hose to Yamuna house, hari masjid Ward No 92,  Shivajinagara Assembly Constituency Bangalore ",2.0
65,2014-15,1,"Sinking of Borewell and providing pumping machinery with pipe line in lady curzan hospital ward no. 110, Shivajinagar Assembly Constituency, Bangalore State-1","Sinking of Borewell and providing pumping machinery with pipe line in lady curzan hospital ward no. 110, Shivajinagar Assembly Constituency, Bangalore State-1",8.0
66,2014-15,2,"Sinking of Borewell and providing pumping machinery with pipe line in lady curzan hospital ward no. 110, Shivajinagar Assembly Constituency, Bangalore State-2","Sinking of Borewell and providing pumping machinery with pipe line in lady curzan hospital ward no. 110, Shivajinagar Assembly Constituency, Bangalore State-2",8.0
67,2014-15,3,"Improvements to Patheway at Lady curzan hospital in bowring hospital in ward no. 110, Shivajinagar Assembly Constituency, Bangalore ","Improvements to Patheway at Lady curzan hospital in bowring hospital in ward no. 110, Shivajinagar Assembly Constituency, Bangalore ",2.5
68,2014-15,4,"Construction of Add. Work of RCC Drain near SHAMS Conventional Hall near Gate No.1 & 2 in ward no. 110, Shivajinagar Assembly Constituency, Bangalore ","Construction of Add. Work of RCC Drain near SHAMS Conventional Hall near Gate No.1 & 2 in ward no. 110, Shivajinagar Assembly Constituency, Bangalore ",2.0
69,2014-15,5,"Providing of Cement concrete road near No.16 Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ","Providing of Cement concrete road near No.16 Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ",1.5
70,2014-15,6,"Providing of Cement concrete road near No.5 Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ","Providing of Cement concrete road near No.5 Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ",2.1
71,2014-15,7,"Providing of Cement concrete road near No.11 Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ","Providing of Cement concrete road near No.11 Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ",1.5
72,2014-15,8,"Providing of Cement concrete road near No.18 B road street, Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ","Providing of Cement concrete road near No.18 B road street, Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ",2.5
73,2014-15,9,"Providing of Cement concrete road near No.18 B cross road Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ","Providing of Cement concrete road near No.18 B cross road Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore ",1.6
74,2014-15,10,"Providing of Cement concrete road near No.18  street cross road, Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore  Stage -2","Providing of Cement concrete road near No.18  street cross road, Chandni chowki road cross street, ward no. 92, Shivajinagar Assembly Constituency, Bangalore  Stage -2",1.0
75,2014-15,11,"Providing of Cement Concrete road near No.18 C  Cross Road, Chandini Chouk road ward No.92 Shivaji nagar assembly Constituency Bangalore","Providing of Cement Concrete road near No.18 C  Cross Road, Chandini Chouk road ward No.92 Shivaji nagar assembly Constituency Bangalore",1.8
76,2014-15,12,"Providing of Cement concrete road from Ganapathy Nilayam to Kumar Swamy house in Bharathinagar  ward no. 91, Shivajinagar Assembly Constituency, Bangalore  Stage -1","Providing of Cement concrete road from Ganapathy Nilayam to Kumar Swamy house in Bharathinagar  ward no. 91, Shivajinagar Assembly Constituency, Bangalore  Stage -1",2.0
77,2014-15,13,"Providing of Cement concrete road from Dr.Venkata raman Street, to T.S. padman abhan House in no.12, clockpet ""C' Street, Shivanashetty Gonden in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -1","Providing of Cement concrete road from Dr.Venkata raman Street, to T.S. padman abhan House in no.12, clockpet ""C' Street, Shivanashetty Gonden in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -1",2.5
78,2014-15,14,"Providing of Cement concrete road near Maden kumar House in no.9, clockpet ""C' Street, Kamaraj road cross in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -1","Providing of Cement concrete road near Maden kumar House in no.9, clockpet ""C' Street, Kamaraj road cross in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -1",2.5
79,2014-15,15,"Providing of Cement concrete road RCC Drain with Covering slab kerb stone and culvert at sri.Skanda nivas to T.N. Jagadeeshan No.1, 2nd Street, ""o"" Shivanna Shetty Garden  in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -1","Providing of Cement concrete road RCC Drain with Covering slab kerb stone and culvert at sri.Skanda nivas to T.N. Jagadeeshan No.1, 2nd Street, ""o"" Shivanna Shetty Garden  in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -1",2.5
80,2014-15,16,"Providing of Cement concrete road RCC Drain with Covering slab kerb stone and culvert at near eco one stop street No.1, 2nd Street, ""o"" Shivanna Shetty Garden  in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore.","Providing of Cement concrete road RCC Drain with Covering slab kerb stone and culvert at near eco one stop street No.1, 2nd Street, ""o"" Shivanna Shetty Garden  in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore.",1.0
