Sl No.,Financial Year,Sl No,Work Name Rough Translation (English),Value (In Rs. Lakhs)
70,2015 -16,16,"Bangalore North (Apara) taluk, construction work of Hosahalli bus shelter at Web Hobli",2.5
71,2015 -16,17,"Bangalore North (Aparara) Taluk, Web haul sandalwood bus stand construction work",2.5
72,2015 -16,18,"M. Hosahalli bus stop construction work in Bangalore North (Apara) Taluk, Web Hobli",2.5
73,2015 -16,19,"Construction of Manchappanahalli bus shelter in Bangalore North (Apara) Taluk, Web Hobli",2.5
74,2015 -16,20,"Construction work at Pillakamnagar bus stand in Bangalore North (Apara) taluk, network hobbies",2.5
75,2015 -16,21,"Construction work at Gaddenahalli bus stand in Bangalore North (Apara) Taluk, Web Hobli",2.5
76,2015 -16,22,"Bangalore North (Aparara) taluk, construction work on the horticultural bus stand",2.5
77,2015 -16,23,"Bangalore North (Apara) Taluk, Hutanahalli (Akayyammana Betta) bus stand area construction work",2.5
78,2015 -16,24,"Bangalore North (Apara) Taluk, Network Haul Fishermen New Bus Station Parking",2.5
79,2015 -16,25,"Muthakkahalli bus stand building works in Bangalore North (Apara) taluk, network hobli",2.5
80,2015 -16,26,"Bangalore North (Apara) Taluk, Web Hobli Mahadeva Kodigehahalli bus restoration work",2.5
81,2015 -16,27,"Bangalore North (Apara) taluk, construction work of BK Palya bus stand",2.5
82,2015 -16,28,"Bangalore North (Aparara) Taluk, Web Hobli's Huvinayakanahalli bus stand up construction work",2.5
83,2015 -16,29,"Construction work of Chagalelet bus stand in Bangalore North (Apara) taluk, network hobbies",2.5
84,2015 -16,31,"Bangalore North (Apara) taluk, construction work of Rashik Sabb Palya Bus Station",2.5
85,2015 -16,32,"Bangalore North (Apara) taluk, construction work at Budan Saab Palya Bus Station",2.5
86,2015 -16,33,"Bangalore North (Apara) taluk, construction work of Meesaganahalli bus stand",2.5
87,2015 -16,34,"The construction work of Kozhikode bus stand in Bangalore North (Apara) taluk, network hobbies",2.5
88,2015 -16,35,"Construction work of Sannappanahalli bus shelter in Bangalore North (Apara) Taluk, Net Hobli",2.5
89,2015 -16,36,"Bangalore North (Apara) Taluk, Web Hobli, Tharbanahalli bus stand area construction",2.5
90,2015 -16,37,"Construction of the Bellamaranahalli bus stand area of ​​Bangalore North (Apara) Taluk, Web Hobli",2.5
91,2015 -16,38,Providing Outdoor Gym Equipments and other works at Bhuvaneshwari nagar park ward No.6,11
92,2015 -16,39,Providing Outdoor Gym Equipments and other works at Kashivishwanatha layout ward No.6,11
93,2015 -16,40,"Providing Outdoor Gym Equipments and other works at M.S.Ramaiah North City Park, ward No.6",11
94,2015 -16,41,"Providing Outdoor Gym Equipments and other works at Sahakarnagar Park, ward No.7",11
95,2015 -16,42,"Providing Outdoor Gym Equipments and other works at Tatanagar Park, ward No.8",11
96,2015 -16,43,"Providing Outdoor Gym Equipments and other works at CQAL layout Park, ward No.8",11
97,2015 -16,44,"Providing Outdoor Gym Equipments and other works at NTI layout Park, ward No.9",11
98,2015 -16,45,Providing Outdoor Gym Equipments and other works at HMT 2nd Block park (Near Anjaneya Temple) ward No.9,11
99,2016 -17,1,"Providing Outdoor Gym Equipments and other works at BEL 1st Block park, (Near Mahila Dakshat Samithi) nagar park ward No.9",11
100,2016 -17,2,"Providing Outdoor Gym Equipments and other works at BEL 6th  Block park, park ward No.9",11
101,2016 -17,3,"Providing Outdoor Gym Equipments and other works at Thindlu Village near Shanimahatma Temple, ward No.9",11
102,2016 -17,4,"Providing Outdoor Gym Equipments and other works at Canara Bank Layout Park, ward No.9",11
103,2016 -17,5,"Providing Outdoor Gym Equipments and other works at Doddabammasandra lake  Park, ward No.10",11
104,2016 -17,6,"Providing Outdoor Gym Equipments and other works at Ramachandrapura Park, ward No.11",11
105,2016 -17,7,To build a library on the Bangalore North Taluk Panchayat premises,5
106,2016 -17,8,Implementing a machine wash machine in Chanahalli village to reach the Fishcante Gram Panchayat,5
107,2016 -17,9,To install a machine for clean drinking water unit at Binnahalli village coming to the Tharukukku Fishkunte Gram Panchayat in Bangalore North (Apara),5
108,2016 -17,10,"Dasanayakanahalli Clean Drinking Water Unit at Bangalore North Block Taluk, Batteryanpur Assembly Constituency",3.45
109,2016 -17,11,"Begurur Clean Drinking Water Unit Construction Workshop at Batteryanpur Assembly Constituency, Bangalore North",3.45
110,2016 -17,12,Clean Up Drinking Water Unit at Uthanahalli Village in Battaraayanapura Assembly Constituency,3.45
111,2016 -17,13,"Cleaner Drinking Water Unit in Traunhunce Village in Bangalore North Block Taluk, Battarayanpur Assembly Constituency",3.45
112,2016 -17,14,"Clean drinking water unit in Chokkasandra village in Battarayanpur constituency, Bangalore North Apar Taluk",3.45
113,2016 -17,15,"Clean drinking water unit in Bharatinagar village in Bangalore North constituency, Battarayanapura assembly constituency",3.45
114,2016 -17,16,Clean drinking water unit at Hunasamaranahalli village in Battarayanapura assembly constituency,3.45
115,2016 -17,17,"Clean Up Drinking Water Unit at Kodalahatti Grama Niladhari in Bangalore North Apar Taluk, Battarayanapura Assembly Constituency",3.45
116,2016 -17,18,"Clean Up Drinking Water Unit at Gopalpur Village in Bangalore North Block Taluk, Battarayanpur Assembly Constituency",3.45
117,2016 -17,19,Clean drinking water unit in Nellakunte village in Battaramayanur Assembly constituency,3.45
118,2016 -17,20,"Clean Up Drinking Water Unit at Mylanahalli Village in Bangalore North Block Taluk, Battarayanapura Assembly Constituency",3.45
119,2016 -17,21,"Construction of Clean Drinking Water Unit at Narayanapura Village in Bangalore North Block Taluk, Battarayanapura Assembly Constituency",3.45
120,2016 -17,22,"Clean drinking water unit in Ganganagar village in Bangalore North Block Taluk, Battarayanapura assembly constituency",3.45
121,2016 -17,23,"Clean drinking water unit in Sandalwood village in Battaramayanur constituency, Bangalore North Apar Taluk, Bangalore",3.45
122,2016 -17,24,Clean drinking water unit at Mareanahalli Bande village in Battaramayanur Assembly constituency in Bangalore North Apar taluk,3.45
123,2016 -17,25,"Cleaner drinking water unit at Santhur village in Bangalore North Block Taluk, Battarayanapura assembly constituency",3.45
124,2016 -17,26,Clean Up Drinking Water Unit at Razak Saab Palya Village in Battarayanpur Assembly Constituency,3.45
125,2016 -17,27,"Clean drinking water unit in Vidyanagar Cross Village in Bangalore North Block Taluk, Battarayanapura Assembly Constituency",3.45
126,2016 -17,28,"Bangalore North North Apar Taluk, Battarayanpur Assembly Constituency Phasekunte Hosur Gram Panchayat Water Unit Construction Work",3.45
127,2016 -17,29,"The construction of Clean Drinking Water Unit in Muthakahalli Village in Bangalore North Block Taluk, Battarayanapura Assembly Constituency",3.45
128,2016 -17,30,"Clean drinking water unit at Mahadevodigehahalli village in Battaramayanur Assembly constituency, Bangalore North Apar Taluk",3.45
129,2016 -17,31,Sri.Madurumma Devi Temple of Bangalore North Taluk Nagarwada is the development work of the temple,2
130,2016 -17,32,Construction of a clean drinking water unit and machinery in Budan Saab Palya village,5.5
131,2016 -17,33,Implementation of construction and machinery of a clean drinking water unit in the village,5.5
132,2016 -17,34,Construction and Appliance of Clean Drinking Water Unit at Betta Hallasur Anjaneyaswamy Temple,5.5
133,2016 -17,35,Construction and Appliance of Clean Drinking Water Unit in Narayanpur Village,5.5
134,2016 -17,36,Construction and Appliance of Clean Drinking Water Unit at Mahadeva Kodigehalli Village,5.5
135,2016 -17,37,Construction and Appliance of Clean Drinking Water Unit at Kadararappanahalli Village,5.5
136,2016 -17,38,BillamaranahalliConstruction and Appliance of Clean Drinking Water Unit in Shettarere Village ,5.5
137,2016 -17,39,ChokanahalliConstruction and Appliance of Clean Drinking Water Unit in Muttukahalli Village ,5.5
138,2016 -17,40,Construction and Appliance of Clean Drinking Water Unit in Bowivalya Village,5.5
139,2016 -17,41,Construction and Appliance of Clean Drinking Water Unit in Hosahalli Village,5.5
140,2016 -17,42,Construction and Appliance of Clean Drinking Water Unit in Bharathi Nagar Village,5.5
141,2016 -17,43,Construction and Appliance of Clean Drinking Water Unit in Kodugalahatti Village,5.5
142,2016 -17,44,Construction and Appliance of Clean Drinking Water Unit in Sathanur Village,5.5
143,2016 -17,45,Construction and Appliance of Clean Drinking Water Unit in Dasanayakanahalli Village,5.5
144,2016 -17,46,Construction and Appliance of Clean Drinking Water Unit in Sandalwood Village,5.5
145,2016 -17,47,Construction and Appliance of Clean Drinking Water Unit at Mananchappanahalli Village,5.5
146,2016 -17,48,Construction and Appliance of Clean Drinking Water Unit in Manjappa Hosahalli Village,5.5
147,2016 -17,49,Construction and Appliance of Clean Drinking Water Unit in Shakti Nagar,5.5
148,2016 -17,50,Construction and Appliance of Clean Drinking Water Unit in Vidyanagar,5.5
149,2016 -17,51,Construction and Appliance of Clean Drinking Water Unit at Vidyanagar Cross,5.5
150,2016 -17,52,"Concrete Road and drainage construction from RH07 to Devayya ranges from Hunasamaranahalli range to Bangalore North North Taluk, Web Hobli",5
