Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
50,2014 -15,30.0,"Infrastructural development Automation of the Administration office and Library at St.Aloysius Degree College Cox Town Bangalore-560005 Change of Work:-Construction of Toilet block and providing Yelahanka  Tiles Government First Grade College, Yediyur, Jayanagar, Bangalore","Infrastructural development Automation of the Administration office and Library at St.Aloysius Degree College Cox Town Bangalore-560005 Change of Work:-Construction of Toilet block and providing Yelahanka  Tiles Government First Grade College, Yediyur, Jayanagar, Bangalore",7.5
51,2014 -15,31.0,"Foundation work for Gazebo at Hutchins Main Road Park, Sarvagnanagar, Bangalore","Foundation work for Gazebo at Hutchins Main Road Park, Sarvagnanagar, Bangalore",2.5
52,2014 -15,32.0,"Construction of Brick work at Hutchins Main Road Park, Sarvagnanagar, Bangalore","Construction of Brick work at Hutchins Main Road Park, Sarvagnanagar, Bangalore",2.5
53,2014 -15,33.0,"Construction & fixing granite flooring and seating at Hutchins Main Road Park, Sarvagnanagar, Bangalore","Construction & fixing granite flooring and seating at Hutchins Main Road Park, Sarvagnanagar, Bangalore",2.5
54,2014 -15,34.0,"Construction & fixing of terracota tiles to gazebo at Hutchins Main Road Park, Sarvagnanagar, Bangalore","Construction & fixing of terracota tiles to gazebo at Hutchins Main Road Park, Sarvagnanagar, Bangalore",2.5
55,2014 -15,35.0,"Providing cement concrete road arpanahalli village kalubalu GP jigani Hobli, Anekal Taluk","Providing cement concrete road arpanahalli village kalubalu GP jigani Hobli, Anekal Taluk",5.0
56,2014 -15,36.0,"Providing cement concrete road Kuppasiddaiahana village kalubalu GP jigani Hobli, Anekal Taluk","Providing cement concrete road Kuppasiddaiahana village kalubalu GP jigani Hobli, Anekal Taluk",5.0
57,2014 -15,37.0,"Providing cement concrete road from Srinath House  to Muniraju House House  Kachinakanahalli Village, Ennagara GP Jigani Hobli, Bangalore South Taluk","Providing cement concrete road from Srinath House  to Muniraju House House  Kachinakanahalli Village, Ennagara GP Jigani Hobli, Bangalore South Taluk",5.0
58,2014 -15,38.0,"Providing cement concrete road from Esha Nilaya to Ganganna House Vinayakanagara village, Ramohalli GP Kengeri Hobli, Bangalore South Taluk","Providing cement concrete road from Esha Nilaya to Ganganna House Vinayakanagara village, Ramohalli GP Kengeri Hobli, Bangalore South Taluk",5.0
59,2014 -15,39.0,"Providing Improvement to Road in front of public toilet at Mutharayaswamy temple Sullivara Village, Chikkanahalli GP Tavarekere Hobli, Bangalore South Taluk","Providing Improvement to Road in front of public toilet at Mutharayaswamy temple Sullivara Village, Chikkanahalli GP Tavarekere Hobli, Bangalore South Taluk",5.0
60,2014 -15,40.0,"Providing Cement Concrete Drain in front of Muninanjappa House Kyalasanahalli Village, Jigani Hobli, Anekal Taluk","Providing Cement Concrete Drain in front of Muninanjappa House Kyalasanahalli Village, Jigani Hobli, Anekal Taluk",5.0
61,2015 -16,1.0,"Construction and Renovation of ITI Technical Training Centre for Deaf, 28/2, Haines Road, Bamboo Bazaar Road, Bangalore-51","Construction and Renovation of ITI Technical Training Centre for Deaf, 28/2, Haines Road, Bamboo Bazaar Road, Bangalore-51",15.0
62,2015 -16,2.0,"Providing Cement Concrete Road connecting to Anjenaya Swamy Temple Muddiahanna palya road, tavarekere Hobli, Chennanahalli GP, Bangalore South","Providing Cement Concrete Road connecting to Anjenaya Swamy Temple Muddiahanna palya road, tavarekere Hobli, Chennanahalli GP, Bangalore South",5.0
63,2015 -16,3.0,"Providing cement concrete road Honighanahatti Grama Limits, Bangalore South","Providing cement concrete road Honighanahatti Grama Limits, Bangalore South",5.0
64,2015 -16,2.0,"Construction and renovation of the Old Government School Building in Sarvagnanagar, Cox Town, Bangalore","Construction and renovation of the Old Government School Building in Sarvagnanagar, Cox Town, Bangalore",
65,2015 -16,,1. Construction of rear compound wall,1. Construction of rear compound wall,2.5
66,2015 -16,,2. Improvement & fixing motor,2. Improvement & fixing motor,2.5
67,2015 -16,,3. Construction & Providing Flooring Stage-1,3. Construction & Providing Flooring Stage-1,2.5
68,2015 -16,,4. Construction & Providing Flooring Stage-2,4. Construction & Providing Flooring Stage-2,2.5
69,2015 -16,,5. Plastaring & painting works Stage-3,5. Plastaring & painting works Stage-3,2.5
70,2015 -16,,6. Providing CC Road in front of School (main Gate),6. Providing CC Road in front of School (main Gate),2.5
71,2015 -16,,7. Providing CC around open area Stage-1,7. Providing CC around open area Stage-1,2.5
72,2015 -16,,8. Providing CC around open area Stage-2,8. Providing CC around open area Stage-2,2.5
73,2015 -16,,9. Providing CC in Assembly area,9. Providing CC in Assembly area,2.5
74,2015 -16,,10. Construction of Gazebo,10. Construction of Gazebo,2.5
75,2015 -16,3.0,Providing four Reverse osmosis water Purification Units,Providing four Reverse osmosis water Purification Units,
76,2015 -16,,1. Near jeevanahalli Bus Stop,1. Near jeevanahalli Bus Stop,0.0
77,2015 -16,,2. Near Nagannapalya,2. Near Nagannapalya,0.0
78,2015 -16,,3. Near Kariyanapalya Lingarapuram,3. Near Kariyanapalya Lingarapuram,0.0
79,2015 -16,,"4. BDA Layour A Block, Near Lingarajapuram","4. BDA Layour A Block, Near Lingarajapuram",0.0
80,2015 -16,4.0,Providing four Reverse osmosis water Purification Units,Providing four Reverse osmosis water Purification Units,
81,2015 -16,,"1. Plant of Gangmen Quarters, Lazer Road, Ward No..59, M.S.Nagarಬದಲಿ ಕಾಮಗಾರಿ:-Detailed Estimate for Construction R.O  Water plant at Jeevanahalli Bus Stand Maruthi Seva Nagar Ward No.59 Sarvagna Nagar Assembly Constituency Bangalore","1. Plant of Gangmen Quarters, Lazer Road, Ward No..59, M.S.Nagarಬದಲಿ ಕಾಮಗಾರಿ:-Detailed Estimate for Construction R.O  Water plant at Jeevanahalli Bus Stand Maruthi Seva Nagar Ward No.59 Sarvagna Nagar Assembly Constituency Bangalore",10.0
82,2015 -16,,"2. Vivekananda Nagar, Ward No.59, M.S.Nagar","2. Vivekananda Nagar, Ward No.59, M.S.Nagar",10.0
83,2015 -16,,"3. G Block Opp Masjid Ward No.49, Lingarajapuram","3. G Block Opp Masjid Ward No.49, Lingarajapuram",10.0
84,2015 -16,,"4. A Block opp Masjid, Ward No.49, Lingarajapuram","4. A Block opp Masjid, Ward No.49, Lingarajapuram",10.0
85,2015 -16,5.0,"Providing Cement Concrete road at Silvepura Grama from David Raj House to Balraj House Silvepura, Kassaghattapura Gram Panchayat limits, Bangalore North Taluk","Providing Cement Concrete road at Silvepura Grama from David Raj House to Balraj House Silvepura, Kassaghattapura Gram Panchayat limits, Bangalore North Taluk",5.0
86,2015 -16,6.0,"Providing Cement Concrete road at Madhugiri Villge, leading to Silvepura Grama main road, Kassaghattapura Gram Panchayat limits, Bangalore North Taluk","Providing Cement Concrete road at Madhugiri Villge, leading to Silvepura Grama main road, Kassaghattapura Gram Panchayat limits, Bangalore North Taluk",5.0
87,2015 -16,7.0,"Providing Cement Concrete Road at Ajanahalli Grama Bangalore South, Yeshwantapura Constituency, Bangalore South Taluk","Providing Cement Concrete Road at Ajanahalli Grama Bangalore South, Yeshwantapura Constituency, Bangalore South Taluk",5.0
88,2015 -16,8.0,Providing Cement Concrete Road leading from Silvepura Grama panchayath main road to Community hall Road Leading from Silvepura Kassaghattapura Grama panchayat Limits Bangalore North Taluk,Providing Cement Concrete Road leading from Silvepura Grama panchayath main road to Community hall Road Leading from Silvepura Kassaghattapura Grama panchayat Limits Bangalore North Taluk,5.0
89,2015 -16,9.0,Providing Cement Concrete Road  from Kumbarahalli Main road to Madhugiri Village Road Leading from Silvepura Kassaghattapura Grama panchayat Limits Bangalore North Taluk,Providing Cement Concrete Road  from Kumbarahalli Main road to Madhugiri Village Road Leading from Silvepura Kassaghattapura Grama panchayat Limits Bangalore North Taluk,5.0
90,2015 -16,10.0,"Construction of Prarthana Mandir (Prayer Hall), Chilkunda, Hunsur Taluk, Mysore District","Construction of Prarthana Mandir (Prayer Hall), Chilkunda, Hunsur Taluk, Mysore District",7.5
91,2015 -16,11.0,"Concreting and improvement of Road Honnali, Shikaripura Road to Church Road Shimoga District","Concreting and improvement of Road Honnali, Shikaripura Road to Church Road Shimoga District",5.0
92,2015 -16,12.0,Providing Cement Concrete road in front of Anthony Raj residence (Government Road)  Kasaghatta Grama Bangalore North Taluk,Providing Cement Concrete road in front of Anthony Raj residence (Government Road)  Kasaghatta Grama Bangalore North Taluk,5.0
93,2015 -16,13.0,"Providing Cement Concrete road from 3rd cross to 4th cross road, Silvepura Grama Panchayat Limits, Bangalore North Taluk","Providing Cement Concrete road from 3rd cross to 4th cross road, Silvepura Grama Panchayat Limits, Bangalore North Taluk",5.0
94,2015 -16,14.0,"Providing Cement Concrete Road in front of Muneshwara Temple Road, Siddanna hosahalli Grama Panchayat Limits, Bangalore North","Providing Cement Concrete Road in front of Muneshwara Temple Road, Siddanna hosahalli Grama Panchayat Limits, Bangalore North",5.0
95,2015 -16,15.0,Providing Cement Concrete road at Byregowda Layout in front of Shivanna's residence (Govt road) Dombarahalli Grama Bangalore North Taluk,Providing Cement Concrete road at Byregowda Layout in front of Shivanna's residence (Govt road) Dombarahalli Grama Bangalore North Taluk,5.0
96,2015 -16,16.0,"Providing Cement Concrete Road in front of Shantharaj Residence (Government Road) Kasaghattapura Grama, Bangalore North Taluk","Providing Cement Concrete Road in front of Shantharaj Residence (Government Road) Kasaghattapura Grama, Bangalore North Taluk",5.0
97,2015 -16,17.0,"Providing Cement Concrete Road from Main Road to RO Plant Road, Dombarahalli Grama Bangalore North Taluk","Providing Cement Concrete Road from Main Road to RO Plant Road, Dombarahalli Grama Bangalore North Taluk",5.0
98,2015 -16,18.0,providing Cement Concrete road from Kanchalikuntiya Main Road to Open Air Theatre Nadagunda Grama Chincholi Taluk Kalaburgi District,providing Cement Concrete road from Kanchalikuntiya Main Road to Open Air Theatre Nadagunda Grama Chincholi Taluk Kalaburgi District,5.0
99,2015 -16,19.0,"Intensive Care Unit nagamma Perumal Maternity Hospital nazarbad, Mysore","Intensive Care Unit nagamma Perumal Maternity Hospital nazarbad, Mysore",15.0
100,2015 -16,20.0,"Purchase of Computers and its accessories Srikanteshwara Industrial Institute Parashurama Temple Street, Halladakeri, Nanjanagud, Mysore District","Purchase of Computers and its accessories Srikanteshwara Industrial Institute Parashurama Temple Street, Halladakeri, Nanjanagud, Mysore District",5.0
101,2015 -16,21.0,"Construction of Additional classroom with Finishing and painting Sri Sathya Sai Loka Seva P.U.College, Sathya Sai Vihar, Alike Dakshina Kannada District","Construction of Additional classroom with Finishing and painting Sri Sathya Sai Loka Seva P.U.College, Sathya Sai Vihar, Alike Dakshina Kannada District",7.0
102,2015 -16,22.0,"Intensive Care Unit K.R.Puram General Hospital, Bangalore","Intensive Care Unit K.R.Puram General Hospital, Bangalore",15.0
103,2015 -16,23.0,"Providing Cement Concrete Drain from Balamma House to Manjamma house Kyalasanahalli Village, Jigani Hobli, Anekal Taluk","Providing Cement Concrete Drain from Balamma House to Manjamma house Kyalasanahalli Village, Jigani Hobli, Anekal Taluk",5.0
104,2016 -17,1.0,"Providing Cement Concrete road Mahantalingapura Village, Kalabalu Grama Panchayat Bangalore South taluk","Providing Cement Concrete road Mahantalingapura Village, Kalabalu Grama Panchayat Bangalore South taluk",5.0
105,2016 -17,2.0,Providing Cement Concrete Road Madhapatna Grama Haragadhe Grama Panchayat Bangalore South,Providing Cement Concrete Road Madhapatna Grama Haragadhe Grama Panchayat Bangalore South,5.0
106,2016 -17,3.0,"Providing one Water plant Unit near Emergency Block, Casualty Department Bowring & Ladi Curzon Hospital, Shivajinagar, Bangalore","Providing one Water plant Unit near Emergency Block, Casualty Department Bowring & Ladi Curzon Hospital, Shivajinagar, Bangalore",10.0
107,2016 -17,4.0,"Providing One Ro water plant unit within the compound of HSIS Ghosha Hospital Shivajinagar, Bangalore","Providing One Ro water plant unit within the compound of HSIS Ghosha Hospital Shivajinagar, Bangalore",10.0
108,2016 -17,5.0,"Construction of Retaining wall St. Sebasian,s Church Kushalnagar, Kodagu District","Construction of Retaining wall St. Sebasian,s Church Kushalnagar, Kodagu District",5.0
109,2016 -17,6.0,"Construction of School building J.H.Patel Layout, Shivamogga","Construction of School building J.H.Patel Layout, Shivamogga",10.0
110,2016 -17,7.0,"Construction of community Moodalabeedu Grama saligrama Hobli, K.R.Nagara Taluk, Mysore District","Construction of community Moodalabeedu Grama saligrama Hobli, K.R.Nagara Taluk, Mysore District",5.0
111,2016 -17,8.0,"Construction of two classrooms keyur Government PU College, Puttur","Construction of two classrooms keyur Government PU College, Puttur",10.0
112,2016 -17,9.0,"Construction of Community center Shirwal, Shahapur Taluk, Yadgir District","Construction of Community center Shirwal, Shahapur Taluk, Yadgir District",5.0
113,2016 -17,10.0,Providing Cement Concrete Road Madappanadoddi Grama Kalabalu Grama Panchayat Bangalore South Taluk,Providing Cement Concrete Road Madappanadoddi Grama Kalabalu Grama Panchayat Bangalore South Taluk,5.0
114,2016 -17,11.0,Providing Cement Concrete Road Seetanayakanahalli haragadde Grama Panchayat Bangalore South Taluk,Providing Cement Concrete Road Seetanayakanahalli haragadde Grama Panchayat Bangalore South Taluk,5.0
115,2016 -17,12.0,"Construction of Compound wall and developmental work at rear portion of primary school Government Kannada Model high School, Sarvajnanagar ward No.79, Bangalore","Construction of Compound wall and developmental work at rear portion of primary school Government Kannada Model high School, Sarvajnanagar ward No.79, Bangalore",2.5
116,2016 -17,13.0,"Providing Cement Concrete on Government Road from Upkar Layout to Yellappa House, Vabasandra road, jigani Hobli, Bangalore North Taluk","Providing Cement Concrete on Government Road from Upkar Layout to Yellappa House, Vabasandra road, jigani Hobli, Bangalore North Taluk",5.0
117,2016 -17,14.0,"Providing Cement Concrete on Government Road from Manjappa  House to Ghumaya House Kyalasanahalli Grama  jigani Hobli, Bangalore North Taluk","Providing Cement Concrete on Government Road from Manjappa  House to Ghumaya House Kyalasanahalli Grama  jigani Hobli, Bangalore North Taluk",5.0
118,2016 -17,15.0,"Providing Cement Concrete Road on approach road to Toilets near Mutharayaswamy Temple, Sulivara Village, Chikkanahalli, Tavarakere Hobli, Bangalore South Taluk","Providing Cement Concrete Road on approach road to Toilets near Mutharayaswamy Temple, Sulivara Village, Chikkanahalli, Tavarakere Hobli, Bangalore South Taluk",5.0
119,2016 -17,16.0,"Providing Cement Concrete Road from Chikramaiah house to Puttanna House Kachanayakanahalli, Hennagara Grama Jigani Hobli, Bangalore","Providing Cement Concrete Road from Chikramaiah house to Puttanna House Kachanayakanahalli, Hennagara Grama Jigani Hobli, Bangalore",5.0
120,2016 -17,17.0,"Construction of ITI Technical training Centre for Dear at No.28/2 Haines Road, Bangalore","Construction of ITI Technical training Centre for Dear at No.28/2 Haines Road, Bangalore",2.5
121,2016 -17,18.0,Providing of Cement Concrete Road from Ramprasad House to Hanumantharaju House Bangalore,Providing of Cement Concrete Road from Ramprasad House to Hanumantharaju House Bangalore,5.0
122,2016 -17,19.0,"Providing Cement Concrete Road Honneganahatti Village, Kempegowda naraga Tavarekere Hobli, Bangalore South Taluk","Providing Cement Concrete Road Honneganahatti Village, Kempegowda naraga Tavarekere Hobli, Bangalore South Taluk",5.0
123,2016 -17,20.0,"Providing of Cemenct Concrete Road Kuruvarahalli Village, Chennenahalli Gram Panchayat, Bangalore South Taluk","Providing of Cemenct Concrete Road Kuruvarahalli Village, Chennenahalli Gram Panchayat, Bangalore South Taluk",5.0
124,2016 -17,21.0,"Construction and Developmental work for Library Government Kannada Model High School Sarvajnanagar, Bangalore","Construction and Developmental work for Library Government Kannada Model High School Sarvajnanagar, Bangalore",2.5
125,2016 -17,22.0,"Providing of Cement Concrete Road on Government Road from Sathyanarayana House to Govindappa House in Siddanahosahalli Grama Panchayat, Dasanapura Hobli, Bangalore North Taluk","Providing of Cement Concrete Road on Government Road from Sathyanarayana House to Govindappa House in Siddanahosahalli Grama Panchayat, Dasanapura Hobli, Bangalore North Taluk",5.0
126,2016 -17,23.0,"Providing of Cement Concrete Road on Government Road from Mallikarjun House to Gurusiddappa House in Dombarahalli Grama Panchayath Dasanapura Hobli, Bangalore North Taluk","Providing of Cement Concrete Road on Government Road from Mallikarjun House to Gurusiddappa House in Dombarahalli Grama Panchayath Dasanapura Hobli, Bangalore North Taluk",5.0
127,2016 -17,24.0,"Providing Cement Concrete Road near Mutharayaswamy Temple leading to and Surrounding the Kalyani water body Sulivara Grama Chikkanahalli Tavarekere Hobli, Bangalore South Taluk","Providing Cement Concrete Road near Mutharayaswamy Temple leading to and Surrounding the Kalyani water body Sulivara Grama Chikkanahalli Tavarekere Hobli, Bangalore South Taluk",5.0
128,2016 -17,25.0,"Providing Cement Concrete road from Govindaiah House Narasaiah House Kachanayakanahalli, Hennagara Grama Jigani Hobli, Bangalore","Providing Cement Concrete road from Govindaiah House Narasaiah House Kachanayakanahalli, Hennagara Grama Jigani Hobli, Bangalore",5.0
129,2016 -17,26.0,"Providing Cement Concrete on Government Road from Motappa House to nanjappa House, Kyalasanahalli grama Jigani Hobli, Anekal taluk","Providing Cement Concrete on Government Road from Motappa House to nanjappa House, Kyalasanahalli grama Jigani Hobli, Anekal taluk",5.0
130,2016 -17,27.0,"Providing Cement Concrete Road in front of Anjenaya temple Road, Raogondulu Uttarahalli Hobli, Nellagolli Grama Panchayat, Bangalore South Taluk","Providing Cement Concrete Road in front of Anjenaya temple Road, Raogondulu Uttarahalli Hobli, Nellagolli Grama Panchayat, Bangalore South Taluk",5.0
131,2016 -17,28.0,"Providing Cement Concrete road near Mutharayaswamy Temple Chikkanahalli Grama limits, Tavarekere Hobli, Bangalore South Taluk","Providing Cement Concrete road near Mutharayaswamy Temple Chikkanahalli Grama limits, Tavarekere Hobli, Bangalore South Taluk",5.0
132,2016 -17,29.0,"Providing Cement Concrete Road on rajeshwari Layout in Siddanahosahalli Grama Panchayat Dasanapura Hobli, Bangalore North Taluk","Providing Cement Concrete Road on rajeshwari Layout in Siddanahosahalli Grama Panchayat Dasanapura Hobli, Bangalore North Taluk",5.0
