Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
11,2013-14,11,ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದÀ್ರದ ಮೊದಲನೆ ಮಹಡಿಯ  ಹಾಗೂ ದೀನದಯಾಳ್ ಉಪಾಧ್ಯಾಯ ಡಯಾಲಿಸಿಸ್ ಕೇಂದ್ರದ ಪೀಠೋಪಕರಣಗಳು ಹಾಗೂ ರೋಗಿಗಳ ತಪಾಸಣಾ ಮೇಜುಗಳು ಮತ್ತು ಮಂಚಗಳು ಹಾಗೂ ವಿವಿಧ ಉಪಕರಣಗಳು.,The first floor of Government Primary Health and the Dineshayad Upadhya dialysis center furniture and patient checking tables and beds and various tools.,5.0
12,2013-14,12,ರಾಮಮಂದಿರ ವಾರ್ಡ್ 108ರ 5ನೇ ಬ್ಲಾಕ್ ನಲ್ಲಿರುವ ಬಿಬಿಎಂಪಿ ಯ ಡಾ|| ನಾಗರಾಜು ಮೆಮೋರಿಯಲ್ ಹೆರಿಗೆ ಆಸ್ಪತ್ರೆಗೆ ಮೂಲ ಸೌಲಭ್ಯ ಕಲ್ಪಿಸಲು.,"Dr BBMP's Dr BS Yeddyurappa, the 5th Block of Ram Mandir Ward 108, Nagaraj Memorial to provide basic facility for maternity hospital.",1.05
13,2013-14,13,ರಾಮಮಂದಿರ ವಾರ್ಡ್ 108ರ 5ನೇ ಬ್ಲಾಕ್ ನಲ್ಲಿರುವ ಬಿಬಿಎಂಪಿ ಯ ಡಾ|| ನಾಗರಾಜು ಮೆಮೋರಿಯಲ್ ಹೆರಿಗೆ ಆಸ್ಪತ್ರೆಗೆ ಹೆಚ್ಚುವರಿ ಕೆಲಸದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.,"Dr BBMP's Dr BS Yeddyurappa, the 5th Block of Ram Mandir Ward 108, Nagaraj Memorial Maternity Hospital is an additional work development work.",10.0
14,2013-14,14,ವಾರ್ಡ್ ನಂ.101ರ ಬಸವೇಶ್ವರನಗರದಲ್ಲಿರುವ ಶ್ರೀ ಕಂಬಿ ಸಿದ್ದರಾಮಣ್ನ ಉಚಿತ ಬಡ ಮತ್ತು ಹಿಂದುಳಿದ ವಿದ್ಯಾರ್ಥಿ ನಿಲಯಕ್ಕೆ ಮೂಲಭೂತ ಸೌಕರ್ಯಗಳನ್ನು (ಹೆಚ್ಚುವರಿ) ಒದಗಿಸುವ ಕಾಮಗಾರಿ.,"Works to provide basic infrastructure (additional) to Sri Kambi Siddaraman free poor and backward student resort in Basaveshwar Nagar, Ward No.01.",3.4
15,2013-14,15,ರಾಜಾಜಿನಗರ 5ನೇ ಬ್ಲಾಕ್ ನಲ್ಲಿರುವ (ಶ್ರೀ ರಾಮಮಂದಿರ ವಾರ್ಡ್ 108g)À  ಬಿಬಿಎಂಪಿ ಯ ಡಾ|| ನಾಗರಾಜು ಮೆಮೋರಿಯಲ್ ಹೆರಿಗೆ ಆಸ್ಪತ್ರೆಗೆ ಮೂಲ ಸೌಲಭ್ಯ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.,Dr. BBMP of Dr. Ramachandra Ward 108g at Rajajinagar 5th Block Nagaraj Memorial is a basic facility for maternity hospital.,3.4
16,2013-14,16,ರಾಜಾಜಿನಗರದ ಶ್ರೀರಾಮಮಂದಿರ ವಾರ್ಡ್ 108ನೇ ವಾರ್ಡ್‍ನ 5ನೇ ಬ್ಲಾಕ್ ನಲ್ಲಿರುವ ಬಿಬಿಎಂಪಿ ಡಾ|| ನಾಗರಾಜು ಮೆಮೋರಿಯಲ್ ಹೆರಿಗೆ ಆಸ್ಪತ್ರೆಗೆ ಹೆಚ್ಚುವರಿ ಅಬಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.,The BBMP is in the 5th block of the 108th ward of Sri Ram Mandir Ward in Rajajinagar Additional development works for the Nagaraj Memorial Maternity Hospital.,10.0
17,2013-14,17,"ಪಂಡಿತ್ ದೀನದಯಾಳï ಉಪಾಧ್ಯಾಯ ಡಯಾಲಿಸಿಸ್ ಕೇಂದ್ರ, ರಾಜಾಜಿನಗರ ವಿವಿಧ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಳಿಗೆ ಅಂದಾಜು ಪಟ್ಟಿ.","Pandit Dinayadhyaya Upadhaya Dialysis Center, Estimate for Various Development Works at Rajajinagar.",26.0
18,2013-14,18,"ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಪಾಠಶಾಲೆ, ಸಾಣೆಗುರುವನಹಳ್ಳಿ (ಶಾಲಾ ಕೊಠಡಿಗಳ  ನಿರ್ಮಾಣ)","Government Model Primary School, Sanigurunahalli (Construction of School Rooms)",8.0
19,2013-14,19,"ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಪಾಠಶಾಲೆ, ಸಾಣೆಗುರುವನಹಳ್ಳಿ (ಹಾಲಿ ಇರುವ ಕಟ್ಟಡದ ಮೊದಲನೇ ಮಹಡಿಯಲ್ಲಿ ಹೆಚ್ಚುವರಿ ಕೊಠಡಿಗಳು)","Government Model Primary School, Sanigurunahalli (Additional Rooms on the First Floor of the Presiding Building)",10.0
20,2013-14,20,"ಶ್ರೀ ಸಿದ್ದಗಂಗಾ ಪ್ರೌಢಶಾಲೆ, ಶಿವನಗರ (ಹೊಸದಾಗಿ ಶೌಚಾಲಯ ನಿರ್ಮಾಣ.)","Shri Siddaganga High School, Shivanagar (Newly constructed toilet.)",10.0
21,2013-14,21,"ಪ್ರಕಾಶನಗರ ವಾರ್ಡ್ ನಂ.98 ರಲ್ಲಿರುವ ಗಾಯಿತ್ರಿದೇವೆ ಉದ್ಯಾನವನದಲ್ಲಿ ಸ್ಥಳೀಯ ನಾಗರೀಕರಿಗೆ ಯೋಗ, ವ್ಯಾಯಾಮ ಮಾಡಲು ಅನುಕೂಲವಾಗುವಂತೆ ಮೇಲ್ಛಾವಣಿ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ. (ಟ್ರೆಸ್ ವರ್ಕ್)",The rooftop construction works to facilitate yoga exercises for indigenous citizens in the Gayatriwa Park in Prakashagar Ward No.98. (Treasure work),10.4
22,2014-15,1,ಸರ್ಕಾರಿ ಪ್ರೌಢಶಾಲೆ ಜೂಗನಹಳ್ಳಿ (ಹೊಸದಾಗಿ ಶೌಚಾಲಯ ಕಟ್ಟಡ ಕಾಮಗಾರಿ ಕಾರ್ಯ),Government High School Juganahalli (new toilet building work),10.0
23,2014-15,2,ಸರ್ಕಾರಿ ಪ್ರೌಢಶಾಲೆ ಜೂಗನಹಳ್ಳಿ (ಹಾಲಿ ಇರುವ ಶಾಲೆಯ ಕೊಠಡಿಗಳ ನೆಲಹಾಸು ಮಾಡುವ ಕಾಮಗಾರಿ ಕಾರ್ಯ),Government High School Juganahalli (construction of existing school rooms),5.0
24,2014-15,3,"ಸರ್ಕಾರಿ ಪ್ರೌಢಶಾಲೆ, 2ನೇ ಬ್ಲಾಕ್, ರಾಜಾಜಿನಗರ (ಶೌಚಾಲಯ ಹಾಗೂ ಕೊಳಯಿ ದುರಸ್ತಿ ಮಕ್ಕಳ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಮಳೆ ನೀರು ಕೋಯ್ಲು ಸಂಗ್ರಹಣೆ)","Government High School, 2nd Block, Rajajinagar (toilet and tube repair children's playground development and rain water harvesting)",6.5
25,2014-15,4,(1) Off line UPS system (1.No.) (2) Voltage Stabilizers (2.No) (3) Desktop computer with preloaded operating system. (10.No.) (4) HP Printer (2.No.),(1) Off line UPS system (1.No.) (2) Voltage Stabilizers (2.No) (3) Desktop computer with preloaded operating system. (10.No.) (4) HP Printer (2.No.),9.5
26,2014-15,5,"ರಾಜಾಜಿನಗರದಲ್ಲಿರುವ ಬಿಬಿಎಂಪಿ ವಾಣಿಜ್ಯ ಸಂಕೀರ್ಣದಲ್ಲಿರುವ ನಾಡಕಛೇರಿ ಇಲ್ಲಿ ಅಲ್ಯೂಮಿನಿಯಂ ವಿಭಜನೆ, ಸುಣ್ಣ-ಬಣ್ಣ ಮತ್ತು ವಿದ್ಯುತ್ ದುರಸ್ತಿ.","Nadakkacheri is located in the BBMP Commercial complex in Rajajinagar where the aluminum decomposition, lime-color and power repair.",0.0
27,2014-15,6,"ಐಸ್ಪಾರ್ಕ್ ಇನೋವೇಷನ್ ಸಂಸ್ಥೆಯವರು ತಯಾರಿಸಿರುವ ಲರ್ನಿಂಗ್ ಕಂಪಾನಿಯನ್ ಎಜುಕೇಷನ್ ಕಿಟ್ ಗಳನ್ನು ಅಂಗನವಾಡಿ ಹಾಗೂ ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗಳಿಗೆ ಸರಬರಾಜು ಮಾಡುವ ಬಗ್ಗೆ(ತಲಾ 1ಕ್ಕೆ 5,000-00 ಗಳಂತೆ ಒಟ್ಟು 20 ಕಿಟ್‍ಗಳಿಗೆ) ರಾಜಾಜಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರ.","The Rajajinagar assembly constituency is about the supply of Learning Companion Education Kit made by Ice Park Innovations to Anganwadi and Government Primary Schools (for every 20 kits per 5,000- 1 per person).",1.0
28,2014-15,7,"ರಾಮ ಮಂದಿರ ಆಡದ ಮೈದಾನದಲ್ಲಿನ ರಂಗಮಂದಿರ ಕಟ್ಟಡಕ್ಕೆ ಸುತ್ತಲು ಭದ್ರತೆ ಗೇಟ್ ಅಳವಡಿಕೆ, ಫ್ಯಾಟ್ರಿಕೆಟೆಡ್ ಗ್ರಿಲ್ ವರ್ಕ್, ಮೇಲ್ಛಾವಣಿ ಹಾಗೂ ಮೈದಾನದ ದಕ್ಷಿಣ ಭಾಗಕ್ಕೆ ಭದ್ರತಾ ಗೇಟ್ ಅಳವಡಿಸುವ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.","Security Gate Adaptation, Fathered Grill Work, Roof, and Security Gate Implementation Setting Up to the South Side of the Grounds around the Theater at the Ram Mandir Aadha Maidan.",9.0
29,2014-15,8,ಡಾ|| ನಾಗರಾಜ್ ಮೆಮೋರಿಯಲ್ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಉದ್ಯಾನವನ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ,Dr For garden development work at Nagaraj Memorial Hospital,2.0
30,2014-15,9,ಡಾ|| ನಾಗರಾಜ್ ಮೆಮೋರಿಯಲ್ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಪೀಠೋಪಕರಣಗಳ ಕಾಮಗಾರಿ.,Dr Furniture work at Nagaraj Memorial Hospital.,5.0
31,2014-15,10,ಡಾ|| ನಾಗರಾಜ್ ಮೆಮೋರಿಯಲ್ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಒಳಾಂಗಣ ವಿನ್ಯಾಸಕ್ಕಾಗಿ.,Dr Interior Design at Nagaraj Memorial Hospital.,1.8
32,2014-15,11,ಡಾ|| ನಾಗರಾಜ್ ಮೆಮೋರಿಯಲ್ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಹವಾನಿಯಂತ್ರಣ ಉಪಕರಣದ ಅಳವಡಿಕೆ,Dr Adoption of Air Conditioning Equipment at Nagaraj Memorial Hospital,1.0
33,2014-15,12,"ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಪಾಠಶಾಲೆ, ಸಾಣೆಗುರುವನಹಳ್ಳಿ, (ಮಕ್ಕಳು ಊಟಕ್ಕೆ ಕೂರುವ ಜಾಗದಲ್ಲಿ ಛಾವಣಿ ಹಾಕಿಸುವ ಕಾಮಗಾರಿ.)","Government Model Primary School, Saneguruanahalli, (Children work on a dining room.)",10.0
34,2014-15,13,"ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು, ಶ್ರೀರಾಮಪುರ (ಶಾಲೆಯ ಮೈದಾನ ಅಭಿವೃದ್ಧಿ)","Government Graduate College, Srirampur (School Ground Development)",10.0
35,2014-15,14,"ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು, ಶ್ರೀರಾಮಪುರ (ಕಟ್ಟಡದ ಹಿಂಭಾಗದಲ್ಲಿ ಹೊಸದಾಗಿ ಚೈನ್ ಲಿಂಠಿï ಫೆನ್ಸಿಂಗ್ ಅಳವಡಿಸುವುದು ಹಾಗೂ ಇತರೆ ಕೆಲಸಗಳು)","Government Graduate College, Srirampur (Adopting New Chain Linting Fencing and Other Works at the back of the building)",5.0
36,2014-15,15,"ಸರ್ಕಾರಿ ಪ್ರೌಢಶಾಲೆ ಪ್ರಕಾಶನಗರ ಶೌಚಾಲಯ ನಿರ್ಮಾಣ, ನೆಲ ಹಾಸು ಮಾಡುವ ಕಾಮಗಾರಿ.","Construction of Government High School Publication Toilet, Landfilling.",10.0
37,2014-15,16,"ಬಸವೇಶ್ವರನಗರ ವಾ.ನಂ.100 ರಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಪ್ರೌಢಶಾಲೆ, ಸಾಣೆಗುರುವನಹಳ್ಳಿ ಶಾಲೆಗೆ ಕಾಂಪೌಚಿಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಮಕ್ಕಳು ಊಟಕ್ಕೆ ಕೂರುವ ಸ್ಥಳಕ್ಕೆ ಕಾಂಕ್ರೀಟ್ ನೆಲಹಾಸು ಹಾಕುವ ಕಾಮಗಾರಿ.","Government High School, Basaveshwaranagar, No. 100, Concrete construction for Sanigurunahalli school and concrete floor building for children's dining area.",8.0
38,2015-16,1,"ಸಾಣೆಗುರುವನಹಳ್ಳಿಯಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಪ್ರೌಢ ಶಾಲೆಗೆ ನೀರಿನ ಸೌಲಭ್ಯ ಒದಗಿಸಲು ಕೆಳಮಟ್ಟದ ನೀರಿನ ತೊಟ್ಟಿ (ಸಂಪ್), ಮತ್ತು ಶಾಲೆಯ ಮಕ್ಕಳ ಊಟಕ್ಕೆ ಕೂರುವ ಸ್ಥಳಕ್ಕೆ ಕಾಂಕ್ರೀಟ್ ನೆಲಹಾಸು ನಿರ್ಮಾಣದ ಕಾಮಗಾರಿ ಹಾಗೂ ಶಾಲೆಯ ಭದ್ರತೆಗೆ ಕಾಂಪೌಂಡ್ ಹಾಗೂ ಗೇಟ್ ಅಳವಡಿಸುವ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Construction of concrete floors for the underground water tank (samp), and school children's dining area to provide water for the Government High School in Saneguruanahalli and compound and gate installation work for school security",10.0
39,2015-16,2,"ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಪಾಠಶಾಲೆ, ಸಾಣೆಗುರುವನಹಳ್ಳಿ (ಮಕ್ಕಳ ಊಟಕ್ಕೆ ಕೂರುವ ಜಾಗದಲ್ಲಿ ಛಾವಣಿ ಹಾಕಿಸುವ ಮುಂದುವರೆದ ಕಾಮಗಾರಿ)","Government Model Primary School, Saneguruanahalli (Continuous Workshop on Children's Mealings)",3.8
40,2015-16,3,ಶ್ರೀರಾಮಮಂದಿರ ವಾರ್ಡ್-108ರ ಶ್ರೀರಾಮಮಂದಿರ ಆಟದ ಮೈದಾನದ ರಂಗಮಂದಿರ ಕಟ್ಟಡದಲ್ಲಿನ                   ಇ-ಗ್ರಂಥಾಲಯಕ್ಕೆ ಪೀಠೋಪಕರಣಗಳು ಕಟ್ಟಡಕ್ಕೆ ಸುಣ್ಣ ಬಣ್ಣ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,E-library in Sri Ram Mandir Ward-108 Sriramandara playground theater building lime color development work for furniture,35.54
41,2015-16,4,ಕಾಮಾಕ್ಷಿಪಾಳ್ಯ ವಾರ್ಡ್-101 ರಲ್ಲಿರುವ ಕಂಬಿಸಿದ್ದರಾಮಣ್ಣ ಹಾಸ್ಟಲ್ (ಉಚಿತ ವಿದ್ಯಾರ್ಥಿನಿಲಯ) ಕಟ್ಟಡದ ಮೊದಲನೇ ಮಹಡಿಯಲ್ಲಿ ಶೌಚಾಲಯದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ.,For the development of toilet development on the first floor of the compounded Ramanna Hastal (free hostel) building in KamakshiPalya Ward-101.,8.0
42,2015-16,5,ಕಾಮಾಕ್ಷಿಪಾಳ್ಯ ವಾರ್ಡ್-101 ರಲ್ಲಿರುವ ಕಂಬಿಸಿದ್ದರಾಮಣ್ಣ ಹಾಸ್ಟಲ್ (ಉಚಿತ ವಿದ್ಯಾರ್ಥಿನಿಲಯ) ಕಟ್ಟಡದ ಎರಡನೇ ಮಹಡಿಯಲ್ಲಿ ಶೌಚಾಲಯದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ.,For the development of toilet development on the second floor of the compounded Ramanna Hastal (Free Student) Building in KamakshiPalya Ward-101.,8.0
43,2015-16,6,ಶ್ರೀರಾಮಮಂದಿರ ವಾರ್ಡ್-108ರ ಶ್ರೀರಾಮಮಂದಿರ ಸಾರ್ವಜನಿಕ ಆಟದ ಮೈದಾನದಲ್ಲಿರುವ ರಂಗಮಂದಿರ ಕಟ್ಟಡದಲ್ಲಿ ಶ್ರೀರಾಮ ಫಿಟ್‍ನೆಸ್ ಟೆಂಪಲ್ (ಮಲ್ಟಿ ಜಿಮ್) ನಡೆಯುತ್ತಿದ್ದು ಇದಕ್ಕೆ ಜಿಮ್ ಉಪಕರಣಗಳ ಸರಬರಾಜಿಗೆ ಕಾಮಗಾರಿ,"Srirama fitness temple (multi gym) is held at the Rama Mandir Building on Sri Ram Mandir Public Stadium, which is dedicated to Jim equipment supplies.",3.25
44,2015-16,7,"ನಳಂದ ಕ್ರೆಡಿಟ್ ಕೋ-ಆಪರೇಟಿವ್ ಸೊಸೈಟಿ (ರಿ) ಮಾಗಡಿ ಮುಖ್ಯರಸ್ತೆ ಬಸವೇಶ್ವರನಗರ ಬೆಂ-79, ಈ ಸಂಸ್ಥೆಯ ವತಿಯಿಂದ ನಳಂದ ಚಾರಿಟಬಲ್ ಮತ್ತು ಎಜುಕೇಷನ್ ಟ್ರಸ್ಟ್ (ರಿ) ನಡಿಯಲ್ಲಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಮಾಧ್ಯಮಿಕ ಶಾಲೆಯನ್ನು ನಡೆಸುತ್ತಿದ್ದು, ಸದರಿ ಶಾಲೆಗೆ ಹೆಚ್ಚುವರಿ ಕೊಠಡಿ ನಿರ್ಮಾಣಕ್ಕೆ","Nalanda Credit Co-Operative Society (R) Magadi Main Road Basaveshwarnagar Bend-79, under the organization Nalanda Charitable and Education Trust (R) conducts primary and secondary school, to provide additional room for the school",10.0
45,2015-16,8,ಶ್ರೀರಾಮಮಂದಿರ ವಾರ್ಡ್-108ರ ಶ್ರೀರಾಮಮಂದಿರ ಆಟದ ಮೈದಾನದ ರಂಗಮಂದಿರ ಕಟ್ಟಡದಲ್ಲಿನ             ಇ-ಗ್ರಂಥಾಲಯಕ್ಕೆ ಪೀಠೋಪಕರಣಗಳು ನೆಲಹಾಸು ಮತ್ತು ಸುಣ್ಣ ಬಣ್ಣದ ಮುಂದುವರೆದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,Furniture for E-Library at Sriramandira Ward-108 Sri Ram Mandir Playhouse Theater Development and Development of Loom,7.07
46,2015-16,9,"ಶಿವನಗರ ವಾರ್ಡ್-107ರಲ್ಲಿ ಗಂಗಮ್ಮ ತಿಮ್ಮಯ್ಯ ಸರ್ಕಾರಿ ಪೌಢ ಶಾಲೆಯ ಮುಂಭಾಗದಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ಸ್ಥಾಪಿಸಲು ಅಗತ್ಯ ಕಟ್ಟಡ ನಿರ್ಮಿಸಿ, ಆರ್ ಓ ಪ್ಲಾಂಟ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿಗೆ","The building needed to set up a clean drinking water unit at Gangamma Thimayya Government Higher Secondary School, Shivanagara Ward -107, for the construction of RO Plant",20.25
47,2015-16,10,"ರಾಜಾಜಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ರಾಜಾಜಿನಗರ ಪೋಲಿಸ್ ಠಾಣೆ, ಮತ್ತು ಶ್ರೀರಾಮಪುರ ಪೋಲಿಸ್ ಠಾಣೆಯಲ್ಲಿ ಗುರುತಿಸಲಾಗಿರುವ 45 ಸ್ಥಳಗಳಲ್ಲಿ ಸಿಸಿ ಕ್ಯಾಮರಗಳನ್ನು(40+5 ಪಿಟಿಜಡ್ ಕ್ಯಾಮರಗಳು) ಅಳವಡಿಸುವ ಕಾಮಗಾರಿಗೆ.","Rajajinagar police station in Rajajinagar assembly constituency, and for installing cc cameras (40 + 5 ptzid cameras) at 45 locations identified at Srirampur police station.",14.0
