Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
11,2015-16,11,ಮೋತಿ ನಗರದಲ್ಲಿ ಒಂದ್ ಬಸ್ ತಂಗುದಾಣ ವಾಡ್‍ನಂ:46,One bus stop area of ​​Moti city is Vadnam: 46,6.5
12,2015-16,12,ತಿಮ್ಮಯ್ಯ ಗಾರ್ಡ್‍ನ್ ಬಸ್ ತಂಗುದಾಣ ವಾರ್ಡ್ ನಂ:46,Thimayya Gordon Bus Parking Area: 46,6.5
13,2015-16,13,ದೂರದರ್ಶನ ಮುಖ್ಯ ರಸ್ತೆ ಒಂದು ತಂಗುದಾಣ ವಾರ್ಡ್ ನಂ:46,Television Main Street A Recreation Area Ward No. 46,6.5
14,2015-16,14,"ಬುಲ್ಲೇವಾಡ್ ಉದ್ಯಾನವನದ 3 ಮತ್ತು 4ನೇ ಕ್ರಾಸ್‍ನ ಎರಡು ಬದಿ ರಸ್ತೆಗಳಲ್ಲಿ ವಾರ್ಡ್ ನಂ:18 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ, ಗೆದ್ದಲಹಳ್ಳಿ ಬಸ್ ನಿಲ್ದಾಣ ವಾರ್ಡ್ ನಂ:18 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ, ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ ಬಸ್ ನಿಲ್ದಾಣ ವಾರ್ಡ್ ನಂ:18 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ., 108ಬಿ ಬಸ್ ನಿಲ್ದಾಣದ ಹತ್ತಿರ ವಾರ್ಡ್ ನಂ:20 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ, ಗಂಗಾನಗರದ 5ನೇ ಮುಖ್ಯರಸ್ತೆ ವಾರ್ಡ್ ನಂ:34 ಮತ್ತು 20 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ, ಆರ್.ಟಿ ನಗರ ಶ್ರೀ ಸಾಯಿಬಾಬಾ ದೇವಸ್ಥಾನದ ರಸ್ತೆ ವಾರ್ಡ್ ನಂ:20 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ, ಭೂಪಸಂದ್ರ ವೃತ್ತ,  ವಾರ್ಡ್ ನಂ:19 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ, ಹೆಬ್ಬಾಳ ಮುಖ್ಯರಸ್ತೆ ಬಸ್ ನಿಲ್ದಾಣದ ಹತ್ತಿರ ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ, ನಾಗೇನಹಳ್ಳಿ ಚರ್ಚ್ ವೃತ್ತದ ಹತ್ತಿರ ವಾರ್ಡ್ ನಂ:22 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 18 on the two sides of the 3rd and 4th Cross of Bullwald Park: 18 Cc TV installation work here, Geddallahalli Bus Station Ward No: 18 CCTV installation of CCTV, Nageshettihalli Bus Station Ward No: 18 CCTV installation of CCTV, Ward No. 108 near the bus stand at 108b: 20 CCTV installation work here, The 5th Main Road of Ganganagar Ward No. 34 and 20 are the CCTV installation work here, RT Nagar Shri Saibaba Temple Road Ward No: 20 CCTV Ticket installation here, Bhupasandra Circle,  Ward No. 19 Here is a CCTV installation work, Hebbal Main Road is a CCTV installation work near the bus stand, Ward N2: Nine Nahalli Church Circle Worship No. 22C",10.0
15,2015-16,15,ನಾಗೇನಹಳ್ಳಿ ಚರ್ಚ್ ವೃತ್ತದ ಹತ್ತಿರ ವಾರ್ಡ್ ನಂ:22 ಇಲ್ಲಿ ಸಿ.ಸಿ ಟಿ.ವಿ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.,Ward N2: Nine Nahalli Church Circle Worship No. 22C,
16,2015-16,16,ಗೆದ್ದಲಹಳ್ಳಿ ಸ್ಮಶಾನ ವಾರ್ಡ್ ನಂ:.18.,Geddallahalli Cemetery Ward No. 18.,7.0
17,2015-16,17,"ರಾಮಕೃಷ್ಣ ಲೇಔಟ್, ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ ವಾರ್ಡ್ ನಂ:18.","Ramakrishna Layout, Nagaseettihalli Ward No: 18.",7.0
18,2015-16,18,ಎನ್.ಟಿ.ಐ ಲೇಔಟ್ ವಾರ್ಡ್ ನಂ:19,NTI Layout Ward No: 19,7.0
19,2015-16,19,"ಯು.ಎ.ಎಸ್ ಲೇಔಟ್, ಗಣೇಶ ದೇವಸ್ಥಾನ ಹತ್ತಿರ ವಾರ್ಡ್ ನಂ:19","U.S. Layout, near Ganesha Temple Ward No: 19",7.0
20,2015-16,20,ಪೂವಣ್ಣ ಲೇಔಟ್ ಮನ್ನಾರಾಯನಪಾಳ್ಯ ವಾರ್ಡ್-22,Poovanna Layout MannarayanaPalya Ward-22,7.0
21,2015-16,21,11ನೇ ಕ್ರಾಸ್ ಮನ್ನಾರಾಯನಪಾಳ್ಯ ವಾರ್ಡ್ ನಂ-22,11th Cross Mannarayanapalya Ward No-22,7.0
22,2015-16,22,"13ನೇ ಅಡ್ಡರಸ್ತೆ, ಮನ್ನಾರಾಯನಪಾಳ್ಯ ವಾರ್ಡ್ ನಂ-22","13th Cross, Mannarayanapalya Ward No-22",7.0
23,2015-16,23,"ಪಾಪಣ್ಣ ಬ್ಲಾಕ್, 2ನೇ ಅಡ್ಡರಸ್ತೆ ಹತ್ತಿರ ವಾರ್ಡ್ ನಂ:20","Papanna Black, 2nd crossroads near Ward No: 20",7.0
24,2015-16,24,"ವಸಂತಪ್ಪ ಬ್ಲಾಕ್, ವಾರ್ಡ್ ನಂ:20","Vasanthappa Block, Ward No: 20",7.0
25,2015-16,25,ಶ್ರೀ ನಾಗದೇವಸ್ಥಾನ ಚಾಮುಂಡಿನಗರ ವಾರ್ಡ್ ನಂ:33.,Sri Nagadevasthanam Chamundinagar Ward No: 33.,7.0
26,2015-16,26,ಮಂಜುನಾಥ ಲೇಔಟ್ ವಾರ್ಡ್ ನಂ:33,Manjunatha Layout Ward No. 33,7.0
27,2015-16,27,"5ನೇ ಮೈನ್, 5ನೇ ಕ್ರಾಸ್, ರೆಹಮತ್ ನಗರ, ಪರಮಾನ್ ಮೆಡಿಕಲ್ಸ್ ಹತ್ತಿರ ವಾರ್ಡ್ ನಂ:33.","5th Main, 5th Cross, Rehmat Nagar, Near Paraman Medicals Ward No: 33.",7.0
28,2015-16,28,ಕೃಷ್ಣಪ್ಪ ಬ್ಲಾಕ್ ವಾರ್ಡ್ ನಂ:34,Krishnappa Black Ward No: 34,7.0
29,2016-17,1,"Strom Water Drain Coverising by HDPE Sheet Supporting by MS Steel Truss, Desilting the Drain @ Removal of Jungle, Bed Protection PCC 1:2:4 Improvemnet to the S,a;; Drain Etc @ Dollars Colony, RMC 2nd stage, Between 7th Cross and Junctuon Point of H-200 Strom Water Drain Ward No.18, East Zone, Begaluru Urban District, Bengaluru.  ","Strom Water Drain Coverising by HDPE Sheet Supporting by MS Steel Truss, Desilting the Drain @ Removal of Jungle, Bed Protection PCC 1:2:4 Improvemnet to the S,a;; Drain Etc @ Dollars Colony, RMC 2nd stage, Between 7th Cross and Junctuon Point of H-200 Strom Water Drain Ward No.18, East Zone, Begaluru Urban District, Bengaluru.  ",15.0
30,2016-17,2,ಪೋಸ್ಟಲ್ ಕಾಲೋನಿಯ ಪಾರ್ಕ್ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ. (ವಾರ್ಡ್-19).,Park Development Work on the Postal Colony. (Ward-19).,10.0
31,2016-17,3,ಪಶುವೈದ್ಯಕೀಯ ಮಹಾವಿದ್ಯಾಲಯದ ಮೈದಾನದಲ್ಲಿ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಹಾಗೂ ಕುಡಿಯುವ ನೀರಿನ ಕಾಮಗಾರಿ ವಾರ್ಡ್-20.,Public Toilet and Drinking Water Works Ward-20 at Veterinary College grounds.,10.0
32,2016-17,4,"ಎನ್.ಜಿ.ಇ.ಎಫ್, ಲೇಔಟ್ ಪಾರ್ಕ್‍ನಲ್ಲಿ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ (ವಾರ್ಡ್-19).","NGNF, Development Work at Layout Park (Ward-19).",2.0
33,2016-17,5,ವಾರ್ಡ್-19ರ ಅಮರಜ್ಯೋತಿ ಲೇಔಟ್‍ನ ಶ್ರೀ ಕನಿಕಾ ಪರಮೇಶ್ವರಿ ದೇವಸ್ಥಾನದ ಅಕ್ಕಪಕ್ಕದ ರಸ್ತೆಯಲ್ಲಿ ಸಾರ್ವಜನಿಕರಿಗೆ ಕುಡಿಯುವ ನೀರು ಒದಗಿಸಲು ಪೈಪ್‍ಲೈನ್ ಅಳವಡಿಕೆ ಕಾಮಗಾರಿ.,The pipeline works to provide drinking water to the public on the adjacent road of Sri Kurnika Parameshwari temple at Amarajoti layout of Ward-19.,1.0
34,2016-17,6,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಸೆಂಟ್ರಲ್ ಎಕ್ಸೇಜ್ ಲೇಔಟ್‍ನಲ್ಲಿ ಸಾಂಸ್ಕøತಿಕ ಭವನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.,The construction work of the Central Exhibition Building in the Hebbal Assembly constituency is under construction.,5.0
35,2016-17,7,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.18ರ  ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ ಗೋಪಾಲ ರಾಮಾಯಣ ಸರ್ಕಾರಿ ಮಾದರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗೆ ಹೊಂದಿಕೊಡಿರುವ ಹೊಸದಾಗಿ ಕುವೆಂಪು ಆಟದ ಮೈದಾನಕ್ಕೆ ಉತ್ತರ ಭಾಗದಲ್ಲಿ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ.,"The compound was built on the north of the newly Kuvempu playground, adjoining the Government Model Higher Primary School of Govala Ramayana, Nagasettihalli Ward No.18 of Hebbal Assembly constituency.",9.5
36,2016-17,8,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.18ರ  ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ ಗೋಪಾಲ ರಾಮಾಯಣ ಸರ್ಕಾರಿ ಮಾದರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗೆ ಹೊಂದಿಕೊಡಿರುವ ಹೊಸದಾಗಿ ಕುವೆಂಪು ಆಟದ ಮೈದಾನಕ್ಕೆ ಪಶ್ಚಿಮ ಭಾಗದಲ್ಲಿ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ.,"The compound was built on the western side of the newly constructed Kuvempu Playground, adjoining the Government Model Higher Primary School of Govala Ramayana, Nagashettihalli Ward No 18 of Hebbal Assembly constituency.",8.0
37,2016-17,9,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.18ರ  ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ ಗೋಪಾಲ ರಾಮಾಯಣ ಸರ್ಕಾರಿ ಮಾದರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗೆ ಹೊಂದಿಕೊಡಿರುವ ಹೊಸದಾಗಿ ಕುವೆಂಪು ಆಟದ ಮೈದಾನಕ್ಕೆ ಪೂರ್ವÀ ಭಾಗದಲ್ಲಿ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ.,"Compound Construction of the newly constructed Kuvempu play ground, adjoining the Government Model Higher Primary School, Govala Ramayana, Nagashettihalli, Ward No 18 of Hebbal Assembly constituency.",4.5
38,2016-17,10,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.18ರ  ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ ಗೋಪಾಲ ರಾಮಾಯಣ ಸರ್ಕಾರಿ ಮಾದರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗೆ ಹೊಂದಿಕೊಡಿರುವ ಹೊಸದಾಗಿ ಕುವೆಂಪು ಆಟದ ಮೈದಾನಕ್ಕೆ ದಕ್ಷಿಣ ಚೈನ್‍ಲಿಂಕ್ ಪೆನ್ಸಿಂಗ್ ಭಾಗದಲ್ಲಿ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ.,"Compound construction in the southern chainlink pencing part of the newly Kuvempu playground, adjoining the Government Model Higher Primary School, Ramanayana, Nagashettihalli, Ward No 18 of Hebbal Assembly constituency.",3.0
39,2016-17,11,"ಶ್ರೀ ಕೆ.ವಿ. ಮಂಜುನಾಥ್ ಬಿನ್ ವೆಂಕಟರಾಜು, ನಂ.99/ಎ, 5ನೇ ಮುಖ್ಯರಸ್ತೆ, ಅಂಚೆ ಕಛೇರಿ ರಸ್ತೆ, ಸಂಜಯನಗರ, ಬೆಂಗಳೂರು.","Mr. KV Manjunath bin Venkataraju, No.99 / A, 5th Main Road, Post Office Road, Sanjayagara, Bangalore.",0.75
40,2016-17,12,"ಶ್ರೀ ನುಜಹತ ಬಿನ್ ಸೈಯದ್ ಫಕ್ರುದ್ದೀನ್, ನಂ.24, ಗಿಡ್ಡಪ್ಪ ಬ್ಲಾಕ್, ಜಾಕಿ ಗಾರ್ಡ್‍ನ್, ಆರ್.ಟಿ.ನಗರ, ಬೆಂಗಳೂರು.","Mr. Nijahat bin Syed Fakhruddin, No.24, Giddappa Block, Jackie Gardin, RT Nagar, Bangalore.",0.75
41,2016-17,13,"ಶ್ರೀ ನಾಗರಾಜು ಬಿನ್ ನಾರಾಯಣಪ್ಪ, ನಂ.52, 7ನೇ ಅಡ್ಡರಸ್ತೆ, ಸಿಬಿಐ ರಸ್ತೆ, ಗಂಗಾನಗರ, ಬೆಂಗಳೂರು.","Sri Nagaraju Bin Narayanappa, No.52, 7th Cross, CBI Road, Ganganagar, Bangalore.",0.75
42,2016-17,14,"ಶ್ರೀ ಪೀಟರ್‍ಲೀ ಬಿನ್ ಲೀಕ್ಯೂಸಿ, ನಂ.9, 9ನೇ ಅಡ್ಡರಸ್ತೆ, ಮಠದ ಹಳ್ಳಿ, ದೋಬಿಘಾಟ್, ಆರ್.ಟಿ.ನಗರ, ಬೆಂಗಳೂರು-32","Mr. Peterley Bin Leucuesi, No. 9, 9th Cross, Mutt Village, Dobighat, RT Nagar, Bangalore -32",0.75
43,2016-17,15,"ಶ್ರೀ ಸೈಯದ್ ಅಕ್ರಮ್ ಬಿನ್ ಲೇಟ್ ಸೈಯದ್ ಗೌಸ್, ನಂ.16, 3ನೇ ಅಡ್ಡರಸ್ತೆ, ರೆಹಮತ್ ನಗರ, ಆರ್.ಟಿ.ನಗರ, ಬೆಂಗಳೂರು-32","Mr. Syed Akram Bin Lad Syed Gauss, No.16, 3rd Cross, Rehmat Nagar, RT Nagar, Bangalore -32",0.75
44,2016-17,16,"ಶ್ರೀ ಎನ್.ಗಂಗಾಧರ್ ಬಿನ್ ನಾರಾಯಣಪ್ಪ, ನಂ.14/1, 3ನೇ ಅಡ್ಡರಸ್ತೆ, 2ನೇ ಬ್ಲಾಕ್, ಡಾಲಾರ್ಸ್ ಕಾಲೋನಿ, ಆರ್.ಎಂ.ವಿ. 2ನೇ ಹಂತ, ಸಂಜಯನಗರ, ಬೆಂಗಳೂರು-32.","Sri N. Gangadhar bin Narayanaappa, No. 14/1, 3rd Cross, 2nd Block, Dalar's Colony, RMV. 2nd phase, Sanjayanagar, Bangalore -32.",0.75
45,2016-17,17,"ಶ್ರೀ ನೂರ್ ಉಲ್ಲ ಶರೀಫ್ ಬಿನ್ ಉಸ್ಮಾನ್ ಶರೀಫ್, ನಂ.45, ಪ್ಲಾಟ್ ನಂ.12, ಗ್ರೌಂಡ್ ಪ್ಲೋರ್, 8ನೇ ಎ ಕ್ರಾಸ್, ಐಒವಿ ಬ್ಯಾಂಕ್ ಹತ್ತಿರ, ಕನಕನಗರ, ಬೆಂಗಳೂರು-32.","Mr. Noor Ullah Sharif Bin Usman Sharif, No.45, Plot No.12, Ground Plore, 8th A Cross, near Ivy Bank, Kanakanagar, Bangalore -32.",0.75
46,2016-17,18,"ಶ್ರೀ ಎಸ್.ರಘುರಾಮು ಬಿನ್ ಲೇಟ್ ಎಂ. ಶ್ರೀನಿವಾಸ, ನಂ.20, ಪೆಮ್ಮಯ್ಯ ಬ್ಲಾಕ್, ಜೆ.ಸಿ.ನಗರ, ಬೆಂಗಳುರು-06.","Mr. S. Raghuram bin Late M. Srinivasa, No.20, Pemayya Block, JC Nagar, Bensur-06.",0.75
47,2016-17,19,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯ ಸೆಂಟ್ರಲ್ ಎಕ್ಸೇಜ್ ಲೇಔಟ್‍ನ ಬಿ.ಬಿ.ಎಂ.ಪಿ ಕಛೇರಿಯ ಆವರಣದ ಖಾಲಿ ಜಾಗದಲ್ಲಿ ಗ್ರಂಥಾಲಯ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.,"Library building construction at the empty space of BBMP office premises at Central Exposed Layout, Hebbal Assembly constituency.",25.0
48,2016-17,20,"ಶಶಿಕಲಾ ಬಿನ್ ಎಂ.ವಾಸುದೇವಮೂರ್ತಿ,","Shashikala Bin M. Vasudeva Murthy,",0.75
49,2016-17,21,"ಶ್ರೀ ಎಲ್.ಆರ್ ದೊಡ್ಡರಂಗಯ್ಯ ಬಿನ್ ಲೇಟ್ ರಂಗಯ್ಯ,","Mr. LR Bardaraya Bin Late Rangayya,",0.75
50,2016-17,22,"ಶ್ರೀ ನಿಖತ್ ಜಬೀನ ಬಿನ್ ಅಜ್ಮತುಲ್ಲಾಖಾನ್,","Mr. Nikhat Jabena Bin Azmatullah Khan,",0.75
51,2016-17,23,"ಶ್ರೀ ಮೊಹಮದ್ ಗೈಬಸ್ ಬಿನ್ ಮೊಹಮದ್ ಫಕ್ರುದ್ಧೀನ್,","Mr. Mohamed Gaibas bin Mohammed Fakhruddin,",0.75
52,2016-17,24,"ಶ್ರೀ ಜೀವನ್ ಆರ್ ಬಿನ್ ರಾಮಕೇಶವಮೂರ್ತಿ,","Shri Jeevan R Bin Ramakeshwamurthy,",0.75
53,2016-17,25,"ಶ್ರೀ ಮುನಿರಾಜು.ಕೆ ಬಿನ್ ಕೃಷ್ಣಪ್ಪ,","Mr. Muniraju K. Bin Krishnappa,",0.75
54,2016-17,26,"ಶ್ರೀ ಲಕ್ಷ್ಮೀಕಾಂತ್ ಬಿನ್ ಲೇಟ್ ತಿಮ್ಮಯ್ಯ,","Sri Lakshmikant bin Late Thimayya,",0.75
55,2016-17,27,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ.18ರ ಸಂಜಯನಗರ ಮುಖ್ಯರಸ್ತೆಯ ಗೆದ್ದಲಹಳ್ಳಿ ನಿರ್ಮಲ್ ಜ್ಯುವೆಲರ್ಸ್ ಎದುರುಗಡೆÀ ಇರುವ ಹಾಪ್‍ಕಾಮ್ಸ್ ಪಕ್ಕದ ಜಾಗದಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ಸ್ಥಾಪಿಸುವ ಕಾಮಗಾರಿ.,The construction of a clean drinking water unit at Hampcoms near the Ghedalahalli Nirmal Jewelers headquarters of Sanjayagara on Ward No. 18 of Hebbal Assembly constituency.,10.0
56,2016-17,28,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ.19ರ ಎನ್.ಟಿ.ಐ ಬಸ್ ನಿಲ್ದಾಣದ ಹತ್ತಿರವಿರುವ ಆಟದ ಮೈದಾನದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,Playground development work near Ward N26 bus stand at Hebbal assembly constituency,3.5
57,2016-17,29,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ.46ರ ಆರ್.ಟಿ.ನಗರದಲ್ಲಿರುವ ಸಿಟಿಜನ್ ಪಾರ್ಕ್‍ನ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,"Development work at Citizen Park in RT Nagar, Ward No. 46, Hebbal Assembly Constituency",5.0
58,2016-17,30,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯ ಯು.ಎ.ಎಸ್ ಲೇಔಟ್ ವಾರ್ಡ್ ನಂ.19 ರಲ್ಲಿ ಸಾರ್ವಜನಿಕರಿಗೆ ಕುಡಿಯುವ ನೀರಿನ ಸೌಕರ್ಯ ಒದಗಿಸಲು ಪೈಪ್‍ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ,Work on installing a pipeline to provide drinking water facility to the public in the USA Layout Ward No. 19 of Hebbal Assembly constituency.,1.8
59,2016-17,31,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಪಟೇಲಪ್ಪ ಲೇಔಟ್ ವಾರ್ಡ್ ನಂ:18ರಲ್ಲಿ 1 ಬಸ್ ತಂಗುದಾಣ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.,Patelappa Layout Ward No: 18 Construction of 1 bus shelter in Hebbal assembly constituency.,6.5
60,2016-17,32,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ 98ಬಿ ಬಸ್ ನಿಲ್ದಾಣ ಹತ್ತಿರ ವಾರ್ಡ್ ನಂ:18ರಲ್ಲಿ 1 ಬಸ್ ತಂಗುದಾಣ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.,Construction of 1 bus shelter at Ward 17: Hebbal assembly constituency 98b bus stand.,6.5
61,2016-17,33,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ:19ರಲ್ಲಿ  ಎನ್.ಟಿ.ಐ ನಲ್ಲಿ 1 ಬಸ್ ತಂಗುದಾಣ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.,Ward No: Hebbal Assembly Constituency Ward No. 19: Construction of 1 bus shelter at NTI.,6.5
62,2016-17,34,"ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ:22ರ 12ನೇ ಅಡ್ಡರಸ್ತೆ, ವಿನಾಯಕ ಲೇಔಟ್, ಶನಿಮಹಾತ್ಮ ದೇವಸ್ಥಾನ ಹತ್ತಿರ, ಮನೋರಾಯನಪಾಳ್ಯ ಇಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","Ward Height: 12th Cross Road, 22 Vinayak Layout, near Shanmahatma Temple, Manorayanapalya is a clean drinking water unit in Hebbal assembly constituency.",13.0
